,mu-cassandra_kJmol,pressure_bar
0,-66.0,8.1938869661e-06
1,-63.0,2.75538006304e-05
2,-60.0,9.23254260844e-05
3,-57.0,0.000309116414052
4,-54.0,0.0010401483339920001
5,-51.0,0.00350578244182
6,-48.0,0.01203603983332
7,-47.0,0.01761586505568
8,-46.0,0.026701469254
9,-45.0,0.0402077278552
10,-44.0,0.05943960994920001
11,-43.0,0.1033043150632
