	Psat_ratio	ChemPot_K	P_bar	P_from_IG_Density_bar	No_mol	Density_kg_per_mcubed
0	0.004398818333604836	-5812.0	0.0001385863868313433	0.00013920979082830172	91.35321731343282	0.00010121580261492538
1	0.009910731657128642	-5573.0	0.00031224124004477615	0.00031072795338507424	60.41720268656716	0.0002259221784079602
2	0.05639987391905784	-5054.0	0.0017768987376616916	0.0017776901523569126	145.82102472636817	0.0012925120749751242
3	0.11315615533953952	-4846.0	0.003565026224527363	0.0035722275313079255	86.82192592039803	0.002597273328905473
4	0.2728945990394655	-4584.0	0.008597644548706469	0.00864263282575203	107.54898741293533	0.00628383257437811
5	0.5146518379442083	-4395.0	0.01621429513283582	0.016413704969961862	86.16892522388059	0.011933976142786072
6	0.9472280017625463	-4214.0	0.029842766014427854	0.03048052110871311	92.60249810945274	0.022161590720398007
7	1.7388819025780544	-4040.0	0.05478411285223882	0.055989236481708594	87.09130960199005	0.04070831135820896
8	2.5782440516615703	-3942.0	0.08122852557003979	0.0972402951131971	63.81170288557214	0.07070087857363185
9	2.951781670190381	-3874.0	0.09299696540353233	0.1294815915273502	84.96931069651743	0.09414268302587063
10	3.86411150639633	-3822.0	0.12174025189761196	0.17341949266110376	113.80254582089553	0.12608878325373132
