#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000           -1.39042811e+00  1.69376625e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.55980474e+00 -1.34576686e+00  4.95570686e+01 -6.00801634e-32 -1.02406935e-34  5.69300000e-02  6.30762201e-02
200000           -3.56528072e+00  9.35457146e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.50073787e+00 -4.12882816e+00  5.19257820e+01 -1.56299808e-30 -1.02407975e-29  5.98200000e-02  6.62782274e-02
300000           -1.25348996e+00  1.21745611e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.37523558e+00 -9.09009377e-01  4.91475151e+01 -9.01343208e-30 -2.06372415e-29  5.67500000e-02  6.28767871e-02
400000           -2.96243622e+00  3.34258943e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.29669516e+00 -2.88009028e+00  5.23881524e+01 -4.95361368e-30 -2.98321196e-29  6.04000000e-02  6.69208448e-02
500000           -3.85054201e+01  7.27565234e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.57810725e+01 -4.28240178e+01  6.56541598e+01 -8.06150196e-30 -3.88812451e-29  7.84800000e-02  8.69527798e-02
600000           -4.75235366e+00  1.11753055e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.86988421e+00 -5.28842701e+00  5.22145576e+01 -3.42782924e-30 -5.21292691e-29  6.03900000e-02  6.69097652e-02
700000           -2.19477211e+00  4.50408632e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.23981297e+00 -1.73290129e+00  5.18956902e+01 -3.55235473e-29 -6.29836666e-29  5.99400000e-02  6.64111827e-02
800000           -4.03398855e-01  1.07793111e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.14178166e-01 -2.25208250e-01  4.88215383e+01 -5.52070679e-30 -7.15661094e-29  5.60600000e-02  6.21122940e-02
900000           -1.63417610e+01  3.78062916e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.01223902e+01 -1.89408683e+01  6.00247871e+01 -6.80711991e-29 -8.22152679e-29  7.00100000e-02  7.75683501e-02
1000000          -2.02703460e+00  4.87236665e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.51427126e+00 -1.97425220e+00  5.15828225e+01 -1.52865414e-29 -9.26467066e-29  5.96200000e-02  6.60566352e-02
1100000          -1.58123479e+00  2.23825237e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.80506002e+00 -1.31230780e+00  5.21284124e+01 -1.32650109e-28 -1.04140680e-28  6.01900000e-02  6.66881730e-02
