#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
2700000          -2.84184704e+00  6.80997137e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.52284418e+00 -3.13439215e+00  5.18742697e+01 -8.38773262e-05  1.50953048e-05  5.97800000e-02  6.62339090e-02
2800000          -5.27659261e+00  9.86761581e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.26335419e+00 -5.46682715e+00  5.35294269e+01 -8.38773262e-05  1.50951539e+00  6.21400000e-02  6.88486970e-02
2900000          -5.39685099e+00  1.54425178e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.94110277e+00 -5.76600347e+00  5.11051074e+01 -2.15418038e-28 -3.00892756e-28  5.98000000e-02  6.62560682e-02
3000000          -1.07912610e+01  2.20463828e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.29958993e+01 -1.18060783e+01  5.82067885e+01 -3.69935987e-30 -3.10098672e-28  6.79400000e-02  7.52748708e-02
3100000          -1.95920621e+00  6.86822818e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.64602902e+00 -2.48056775e+00  5.19398953e+01 -2.07402704e-29 -3.20459250e-28  5.96000000e-02  6.60344760e-02
3200000          -5.17296120e+00  9.74167289e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.14712848e+00 -5.63385923e+00  5.38301697e+01 -2.33439015e-29 -3.30597962e-28  6.21600000e-02  6.88708562e-02
3300000          -6.73018361e+00  2.11987927e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.85006288e+00 -8.00603481e+00  5.28349802e+01 -3.31528545e-28 -3.42403390e-28  6.14000000e-02  6.80288058e-02
3400000          -3.34955138e+00  4.89338496e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.83888988e+00 -3.34680154e+00  5.17618909e+01 -1.16714253e-28 -3.55069134e-28  5.97700000e-02  6.62228294e-02
3500000          -5.46027736e+00  1.19837978e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.65865714e+00 -6.26699465e+00  5.21683045e+01 -1.00757521e-28 -3.65205343e-28  6.01200000e-02  6.66106157e-02
3600000          -2.40192843e+00  3.32744191e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.73467262e+00 -2.31184381e+00  5.39206102e+01 -8.42884341e-05  1.50946041e-05  6.21600000e-02  6.88708562e-02
3700000          -4.45437696e+00  9.38557008e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.39293397e+00 -4.73739851e+00  5.46845496e+01 -5.05730605e-04  1.50944531e+00  6.33000000e-02  7.01339317e-02
3800000          -4.53488949e+00  1.11275484e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.64764433e+00 -4.70025892e+00  5.15863541e+01 -1.22472017e-28 -4.01244271e-28  6.00900000e-02  6.65773769e-02
3900000          -1.53712588e+00  2.35366185e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.77249207e+00 -1.45596362e+00  4.90786502e+01 -1.01550387e-28 -4.11963463e-28  5.65000000e-02  6.25997969e-02
4000000          -4.40323482e+00  1.02916893e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.43240375e+00 -4.73557119e+00  5.54912759e+01 -1.72793222e-29 -4.18814656e-28  6.42700000e-02  7.12086539e-02
4100000          -6.91844412e+00  1.31180339e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.23024751e+00 -7.17530301e+00  5.37605900e+01 -2.23304437e-28 -4.32382009e-28  6.27000000e-02  6.94691551e-02
4200000          -4.33143131e+00  1.33450641e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.66593773e+00 -4.81120222e+00  5.47476248e+01 -8.07021932e-28 -4.45128005e-28  6.36000000e-02  7.04663200e-02
4300000          -1.04485653e+01  3.06674568e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.35153109e+01 -1.26521441e+01  5.73007488e+01 -7.26147717e-29 -4.57900687e-28  6.65300000e-02  7.37126458e-02
4400000          -4.59191125e+00  8.41965784e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.43387703e+00 -5.10747450e+00  5.30116479e+01 -4.15559457e-29 -4.71809517e-28  6.10100000e-02  6.75967010e-02
4500000          -1.08141659e+01  2.20247731e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.30166432e+01 -1.13557741e+01  5.59085559e+01 -3.09133541e-29 -4.77899208e-28  6.58500000e-02  7.29592323e-02
4600000          -1.35671239e+01  4.47271601e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.80398399e+01 -1.64975329e+01  5.73559794e+01 -6.91413897e-29 -4.90205827e-28  6.73700000e-02  7.46433330e-02
4700000          -3.20702752e+00  2.94483859e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.50151138e+00 -2.92168365e+00  5.56345083e+01 -2.36608444e-28 -5.10454700e-28  6.43000000e-02  7.12418927e-02
4800000          -2.07925006e+00  1.71858648e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.25110871e+00 -1.85709280e+00  5.27954118e+01 -8.46223042e-29 -5.14562848e-28  6.08400000e-02  6.74083477e-02
4900000          -3.55338037e+00  2.92524623e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.84590500e+00 -3.25377278e+00  5.38387319e+01 -2.08675196e-28 -5.30721110e-28  6.22600000e-02  6.89816523e-02
5000000          -7.90436024e+00  9.51397310e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.85575755e+00 -8.00555366e+00  5.38866480e+01 -5.49356452e-28 -5.41203925e-28  6.26100000e-02  6.93694386e-02
5100000          -4.99510302e+00  6.25038121e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.62014114e+00 -5.07204427e+00  5.23353430e+01 -4.20492475e-29 -5.51020297e-28  6.04900000e-02  6.70205613e-02
5200000          -4.30222428e+00  1.17124429e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.47346857e+00 -4.89248164e+00  5.15243696e+01 -1.17301599e-28 -5.55072036e-28  5.96000000e-02  6.60344760e-02
5300000          -5.91023751e+00  7.82868828e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.69310634e+00 -5.89643345e+00  5.39838916e+01 -8.98290854e-29 -5.66598401e-28  6.26600000e-02  6.94248367e-02
5400000          -1.82393090e+00  2.28518823e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.05244972e+00 -1.66843272e+00  5.34610989e+01 -2.04177987e-28 -5.79857085e-28  6.15900000e-02  6.82393184e-02
5500000          -2.31034371e+00  6.80419709e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.99076342e+00 -2.41340314e+00  5.47976948e+01 -2.25312353e-28 -5.90677290e-28  6.33400000e-02  7.01782502e-02
5600000          -4.40134171e+00  2.75218917e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.15353088e+00 -6.69874069e+00  5.11959559e+01 -1.55270528e-28 -6.01262151e-28  5.90800000e-02  6.54583363e-02
