#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
1000000           1.21968462e+10  6.42838178e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.15242570e+06 -2.87630228e+06  1.92686843e+05  1.27307065e+08  1.82354501e+05  5.42000000e+02  1.74758554e+03
2000000           1.21964893e+10  3.98783897e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.26533101e+06 -3.00642018e+06  2.09906243e+05  6.34880904e+06  9.75097961e+03  5.42000000e+02  1.74758554e+03
3000000           1.21964479e+10  3.90197079e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.29811024e+06 -3.04166677e+06  2.12373604e+05  3.37060039e+06  5.50117213e+03  5.42000000e+02  1.74758554e+03
4000000           1.21964191e+10  3.80905740e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.31764999e+06 -3.06780179e+06  2.18968871e+05  2.90719267e+06  4.83990430e+03  5.42000000e+02  1.74758554e+03
5000000           1.21964283e+10  3.43982263e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.27147291e+06 -3.03012284e+06  2.27467004e+05  2.50520321e+06  4.26627833e+03  5.42000000e+02  1.74758554e+03
6000000           1.21964429e+10  3.58288100e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.27123390e+06 -3.04612649e+06  2.43709665e+05 -1.33853579e+05  5.00429603e+02  5.42000000e+02  1.74758554e+03
7000000           1.21964506e+10  3.70171282e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.27534800e+06 -3.06247161e+06  2.55940675e+05 -4.26184299e+05  8.32831151e+01  5.42000000e+02  1.74758554e+03
8000000           1.21964420e+10  3.58275158e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.27213456e+06 -3.06711181e+06  2.63794325e+05 -2.08320493e+06 -2.28123177e+03  5.42000000e+02  1.74758554e+03
9000000           1.21964569e+10  3.76577961e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.27548741e+06 -3.07707157e+06  2.70401227e+05  1.43522243e+06  2.73945035e+03  5.42000000e+02  1.74758554e+03
10000000          1.21964645e+10  3.76208111e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -3.26747700e+06 -3.07734145e+06  2.78681516e+05  2.54225899e+06  4.31915574e+03  5.42000000e+02  1.74758554e+03
