# Bins	S_mean	S_std
-1.000000000000000000e+00 nan nan
-9.799999999999999822e-01 nan nan
-9.599999999999999645e-01 nan nan
-9.399999999999999467e-01 nan nan
-9.199999999999999289e-01 nan nan
-8.999999999999999112e-01 nan nan
-8.799999999999998934e-01 nan nan
-8.599999999999998757e-01 nan nan
-8.399999999999998579e-01 nan nan
-8.199999999999998401e-01 nan nan
-7.999999999999998224e-01 nan nan
-7.799999999999998046e-01 nan nan
-7.599999999999997868e-01 nan nan
-7.399999999999997691e-01 nan nan
-7.199999999999997513e-01 nan nan
-6.999999999999997335e-01 nan nan
-6.799999999999997158e-01 nan nan
-6.599999999999996980e-01 nan nan
-6.399999999999996803e-01 nan nan
-6.199999999999996625e-01 nan nan
-5.999999999999996447e-01 nan nan
-5.799999999999996270e-01 nan nan
-5.599999999999996092e-01 nan nan
-5.399999999999995914e-01 nan nan
-5.199999999999995737e-01 nan nan
-4.999999999999995559e-01 nan nan
-4.799999999999995381e-01 nan nan
-4.599999999999995204e-01 nan nan
-4.399999999999995026e-01 nan nan
-4.199999999999994849e-01 nan nan
-3.999999999999994671e-01 nan nan
-3.799999999999994493e-01 nan nan
-3.599999999999994316e-01 nan nan
-3.399999999999994138e-01 nan nan
-3.199999999999993960e-01 nan nan
-2.999999999999993783e-01 nan nan
-2.799999999999993605e-01 nan nan
-2.599999999999993427e-01 nan nan
-2.399999999999993250e-01 -3.400091056898236208e-01 7.289840355839587172e-02
-2.199999999999993072e-01 -3.641988375782966858e-01 1.266731991766105458e-02
-1.999999999999992895e-01 -3.691689999401569500e-01 1.057225792177720128e-02
-1.799999999999992717e-01 -3.531575912237167603e-01 8.192212977723550490e-03
-1.599999999999992539e-01 -3.084431329369545227e-01 4.351417708972950445e-03
-1.399999999999992362e-01 -2.428307759761810236e-01 5.661520396830599378e-03
-1.199999999999992184e-01 -1.844602376222610474e-01 1.101880191552203486e-02
-9.999999999999920064e-02 -1.480071699619293080e-01 1.514613366210186725e-02
-7.999999999999918288e-02 -1.276511669158935658e-01 1.604279987950553085e-02
-5.999999999999916511e-02 -1.200931900739669739e-01 1.780689450458049564e-02
-3.999999999999914735e-02 -1.044409045577049250e-01 3.835870420237473544e-02
-1.999999999999912959e-02 -1.111366263031959567e-01 6.728936484401824847e-02
8.881784197001252323e-16 -9.697667360305786688e-02 1.000835459542971234e-01
2.000000000000090594e-02 -1.046986281871795654e-01 7.312307800632111832e-02
4.000000000000092371e-02 -1.141859260201454201e-01 5.019275333623748198e-02
6.000000000000094147e-02 -1.246898999810218817e-01 1.703475509670968058e-02
8.000000000000095923e-02 -1.275899732112884544e-01 1.311341352441623004e-02
1.000000000000009770e-01 -1.478785705566406372e-01 1.532173298571095493e-02
1.200000000000009948e-01 -1.824848595261573669e-01 1.104076107283596606e-02
1.400000000000010125e-01 -2.422405549883842601e-01 7.650120310571681057e-03
1.600000000000010303e-01 -3.057496890425682179e-01 6.057351170521204677e-03
1.800000000000010481e-01 -3.514634968340397125e-01 7.403800673336291549e-03
2.000000000000010658e-01 -3.680088801681995481e-01 1.105227356775775015e-02
2.200000000000010836e-01 -3.622114244103431524e-01 1.142399471159575956e-02
2.400000000000011013e-01 -3.389571153745055132e-01 4.595772961333905587e-02
2.600000000000011191e-01 nan nan
2.800000000000011369e-01 nan nan
3.000000000000011546e-01 nan nan
3.200000000000011724e-01 nan nan
3.400000000000011902e-01 nan nan
3.600000000000012079e-01 nan nan
3.800000000000012257e-01 nan nan
4.000000000000012434e-01 nan nan
4.200000000000012612e-01 nan nan
4.400000000000012790e-01 nan nan
4.600000000000012967e-01 nan nan
4.800000000000013145e-01 nan nan
5.000000000000013323e-01 nan nan
5.200000000000013500e-01 nan nan
5.400000000000013678e-01 nan nan
5.600000000000013856e-01 nan nan
5.800000000000014033e-01 nan nan
6.000000000000014211e-01 nan nan
6.200000000000014388e-01 nan nan
6.400000000000014566e-01 nan nan
6.600000000000014744e-01 nan nan
6.800000000000014921e-01 nan nan
7.000000000000015099e-01 nan nan
7.200000000000015277e-01 nan nan
7.400000000000015454e-01 nan nan
7.600000000000015632e-01 nan nan
7.800000000000015810e-01 nan nan
8.000000000000015987e-01 nan nan
8.200000000000016165e-01 nan nan
8.400000000000016342e-01 nan nan
8.600000000000016520e-01 nan nan
8.800000000000016698e-01 nan nan
9.000000000000016875e-01 nan nan
9.200000000000017053e-01 nan nan
9.400000000000017231e-01 nan nan
9.600000000000017408e-01 nan nan
9.800000000000017586e-01 nan nan
