# Bins	S_mean	S_std
-5.399999999999995914e-01 -7.619726297102476231e-02 1.493502163112388377e-02
-5.299999999999995826e-01 -5.938039782800172417e-02 1.586937908662368335e-02
-5.199999999999995737e-01 -4.126723094990378954e-02 1.886162071627952436e-02
-5.099999999999995648e-01 -2.235001451090762661e-02 1.832733223668538830e-02
-4.999999999999995559e-01 -2.764214183154858982e-03 2.037653378068525478e-02
-4.899999999999995470e-01 1.380040896566290566e-02 1.920449752218708270e-02
-4.799999999999995381e-01 3.141072047384161486e-02 2.158071416779221499e-02
-4.699999999999995293e-01 4.738691496221642679e-02 2.112283446575236034e-02
-4.599999999999995204e-01 6.000051576840249867e-02 1.957638288177795255e-02
-4.499999999999995115e-01 6.762950310581608560e-02 1.832632814871983790e-02
-4.399999999999995026e-01 6.976813752400247426e-02 1.542196394842627882e-02
-4.299999999999994937e-01 6.887395821119610129e-02 1.415172486447021163e-02
-4.199999999999994849e-01 6.480529418117121632e-02 1.257034130796431080e-02
-4.099999999999994760e-01 5.875519623881891862e-02 1.202844929982864117e-02
-3.999999999999994671e-01 5.007302070918836362e-02 1.180833329818385680e-02
-3.899999999999994582e-01 4.308638290355080308e-02 1.077649770577162290e-02
-3.799999999999994493e-01 3.308093720360805873e-02 1.154671449646600158e-02
-3.699999999999994404e-01 2.397107827036004321e-02 1.112383806235261834e-02
-3.599999999999994316e-01 1.283631340453499255e-02 1.091163294693700721e-02
-3.499999999999994227e-01 3.453711459511204628e-03 1.023048132097582365e-02
-3.399999999999994138e-01 -5.521102484903837523e-03 1.069090708953502299e-02
-3.299999999999994049e-01 -1.126530013586345483e-02 1.109049002969832165e-02
-3.199999999999993960e-01 -1.825380560598875365e-02 9.577609921931976023e-03
-3.099999999999993872e-01 -2.201742812206870792e-02 1.141413025611142870e-02
-2.999999999999993783e-01 -2.393091462160411645e-02 1.079857349259128081e-02
-2.899999999999993694e-01 -2.480810519896055680e-02 1.342733358090762025e-02
-2.799999999999993605e-01 -2.325112051085422016e-02 1.373036363251904993e-02
-2.699999999999993516e-01 -2.009674247942472639e-02 1.291359999011434945e-02
-2.599999999999993427e-01 -1.677650652433696626e-02 1.380718947198881011e-02
-2.499999999999993339e-01 -1.061144533910249495e-02 1.501398222934363820e-02
-2.399999999999993250e-01 -7.250346164954336176e-03 1.378609586726426556e-02
-2.299999999999993161e-01 -1.924673820796765850e-03 1.578679294289303189e-02
-2.199999999999993072e-01 2.873729875213221555e-03 1.546330739383533666e-02
-2.099999999999992983e-01 5.645181630787096151e-03 1.555420987251206373e-02
-1.999999999999992895e-01 9.510128592189989391e-03 1.734703411325787953e-02
-1.899999999999992806e-01 1.228011595575433101e-02 1.815137766865471819e-02
-1.799999999999992717e-01 1.501149080301585927e-02 1.752726770340654397e-02
-1.699999999999992628e-01 1.578941047191619734e-02 1.786698094917946525e-02
-1.599999999999992539e-01 1.561433327825445874e-02 1.756785471969182777e-02
-1.499999999999992450e-01 1.217379177871503321e-02 1.442901277248345715e-02
-1.399999999999992362e-01 1.229821145534515381e-02 1.375019815274484275e-02
-1.299999999999992273e-01 8.524701940385919288e-03 1.501222262457035592e-02
-1.199999999999992184e-01 5.820372230128238386e-03 1.361391216554741317e-02
-1.099999999999992095e-01 5.089478743703741530e-03 1.407787946449030880e-02
-9.999999999999920064e-02 1.172001424588655239e-03 1.351897551373647255e-02
-8.999999999999919176e-02 -2.155512728189167438e-03 1.350795148232988505e-02
-7.999999999999918288e-02 -2.709958270976418112e-03 1.473868398382916813e-02
-6.999999999999917399e-02 -5.075924020064504633e-03 1.467928202551769916e-02
-5.999999999999916511e-02 -5.714471873484159616e-03 1.363440028659071435e-02
-4.999999999999915623e-02 -8.195362279289646404e-03 1.376220823017374091e-02
-3.999999999999914735e-02 -7.957231998443604210e-03 1.307442713287856710e-02
-2.999999999999913847e-02 -8.283483197814540261e-03 1.209198780397481750e-02
-1.999999999999912959e-02 -1.069347717260059512e-02 1.376371787828357951e-02
-9.999999999999120703e-03 -1.136979946964665478e-02 1.386383223533157669e-02
8.881784197001252323e-16 -9.834209868782445296e-03 1.264749249390605644e-02
1.000000000000089706e-02 -1.197697206547385790e-02 1.222394998909697404e-02
2.000000000000090594e-02 -1.107963245165975545e-02 1.427326620940017401e-02
3.000000000000091482e-02 -1.050514045514558577e-02 1.367993490500031203e-02
4.000000000000092371e-02 -1.047725912771726824e-02 1.128523068377311651e-02
5.000000000000093259e-02 -9.308608895853946047e-03 1.183034042083756961e-02
6.000000000000094147e-02 -8.046491679392362914e-03 1.434433037916599263e-02
7.000000000000095035e-02 -6.857353135159140883e-03 1.222054101445674626e-02
8.000000000000095923e-02 -5.028888426328960437e-03 1.124130438653701825e-02
9.000000000000096811e-02 -2.754674930321542817e-03 1.260152713979357554e-02
1.000000000000009770e-01 -9.920711580075716220e-04 1.386200371945862930e-02
1.100000000000009859e-01 5.153547776372809433e-04 1.309264037839999277e-02
1.200000000000009948e-01 4.545854267321135060e-03 1.447859776225430758e-02
1.300000000000010036e-01 6.441337968173779967e-03 1.316313017099590352e-02
1.400000000000010125e-01 9.566349104831093492e-03 1.336160945257012372e-02
1.500000000000010214e-01 1.344165833372818787e-02 1.460741042538767596e-02
1.600000000000010303e-01 1.400844674361379459e-02 1.392564419791273746e-02
1.700000000000010392e-01 1.443865612933510276e-02 1.607744715042956629e-02
1.800000000000010481e-01 1.640218088501377985e-02 1.511738128207754800e-02
1.900000000000010569e-01 1.577894232775035530e-02 1.600146283397110847e-02
2.000000000000010658e-01 1.117291089735533011e-02 1.587504335723433080e-02
2.100000000000010747e-01 8.258686567607679066e-03 1.628661105982670901e-02
2.200000000000010836e-01 4.017994121501320716e-03 1.377766764844181625e-02
2.300000000000010925e-01 2.241744493183336559e-03 1.476859220867408375e-02
2.400000000000011013e-01 -4.001240040126599617e-03 1.374878866302236755e-02
2.500000000000011102e-01 -1.028229264836562351e-02 1.354995928927517704e-02
2.600000000000011191e-01 -1.353402404408705906e-02 1.400891809710466326e-02
2.700000000000011280e-01 -1.879951844089909618e-02 1.224816935582143974e-02
2.800000000000011369e-01 -2.275951912528590207e-02 1.226003406022101692e-02
2.900000000000011458e-01 -2.419695352253160847e-02 1.136853003727753691e-02
3.000000000000011546e-01 -2.306226382130070751e-02 1.303052732343167562e-02
3.100000000000011635e-01 -2.113199563402878497e-02 1.168151999074990011e-02
3.200000000000011724e-01 -1.537304959799114072e-02 1.113227933972648839e-02
3.300000000000011813e-01 -8.421770836177625702e-03 1.127072093949347924e-02
3.400000000000011902e-01 -2.990691442238656902e-03 1.144546172715912510e-02
3.500000000000011990e-01 6.858855329061809558e-03 1.141386735330069888e-02
3.600000000000012079e-01 1.557993465348293978e-02 1.081246850715289996e-02
3.700000000000012168e-01 2.524726343782324536e-02 1.154540905541734212e-02
3.800000000000012257e-01 3.417399431529798137e-02 1.110613833084133674e-02
3.900000000000012346e-01 4.313070052548458738e-02 1.155241765709189711e-02
4.000000000000012434e-01 5.163029197015260585e-02 1.087016917893340352e-02
4.100000000000012523e-01 5.832493932623612071e-02 1.209770369464716576e-02
4.200000000000012612e-01 6.687653503919901987e-02 1.374790111465882050e-02
4.300000000000012701e-01 6.993713645558607972e-02 1.327713598249397227e-02
4.400000000000012790e-01 6.941314151412562861e-02 1.736410415124610765e-02
4.500000000000012879e-01 6.890392601490021030e-02 1.947894046350767336e-02
4.600000000000012967e-01 5.712653398513793668e-02 2.045541705156461026e-02
4.700000000000013056e-01 4.297534415596410140e-02 1.905181798384220429e-02
4.800000000000013145e-01 2.887259125709533761e-02 1.988364040845615535e-02
4.900000000000013234e-01 1.249803367413972535e-02 2.033329829324384899e-02
5.000000000000013323e-01 -3.388911485671997070e-03 2.145489893338212856e-02
5.100000000000013411e-01 -2.360902930560864962e-02 1.944271488712933510e-02
5.200000000000013500e-01 -4.127977333570781449e-02 1.686205416415323399e-02
5.300000000000013589e-01 -6.013391833556325922e-02 1.600736006780691112e-02
5.400000000000013678e-01 -7.534993808520468184e-02 1.602825323248806624e-02
5.500000000000013767e-01 -9.270290716698295630e-02 1.456852575003059896e-02
5.600000000000013856e-01 -1.080414841049595898e-01 1.200771724835028413e-02
5.700000000000013944e-01 -1.219751453713366907e-01 9.764822911993341348e-03
5.800000000000014033e-01 -1.378913044929504506e-01 1.034140158869860035e-02
5.900000000000014122e-01 -1.516429957590605115e-01 6.972429232813998588e-03
6.000000000000014211e-01 -1.635457394154448130e-01 7.726100423848999803e-03
6.100000000000014300e-01 -1.770407428082666768e-01 7.246995710032583075e-03
6.200000000000014388e-01 -1.907000096220719254e-01 5.890740650268266529e-03
6.300000000000014477e-01 -2.055057419758093973e-01 5.560102686074667490e-03
6.400000000000014566e-01 -2.188933141921695913e-01 5.754267408393911112e-03
6.500000000000014655e-01 -2.336072420603350630e-01 4.189415762815997153e-03
6.600000000000014744e-01 -2.460359701984806968e-01 4.101445284330808468e-03
6.700000000000014833e-01 -2.570154424560697204e-01 4.757139579988176915e-03
6.800000000000014921e-01 -2.669346998396672777e-01 5.231775874086042402e-03
6.900000000000015010e-01 -2.736261824243946816e-01 4.554476028092964597e-03
7.000000000000015099e-01 -2.770319293204106526e-01 5.145990244587999619e-03
7.100000000000015188e-01 -2.770560129692680174e-01 5.488887008426875970e-03
7.200000000000015277e-01 -2.750170821422024958e-01 9.036146648130988224e-03
7.300000000000015365e-01 -2.733254357388145150e-01 1.932461973367729374e-02
7.400000000000015454e-01 -2.757759166587340216e-01 8.948029289159790955e-02
7.500000000000015543e-01 nan nan
7.600000000000015632e-01 nan nan
7.700000000000015721e-01 nan nan
7.800000000000015810e-01 nan nan
7.900000000000015898e-01 nan nan
8.000000000000015987e-01 nan nan
8.100000000000016076e-01 nan nan
8.200000000000016165e-01 nan nan
8.300000000000016254e-01 nan nan
8.400000000000016342e-01 nan nan
8.500000000000016431e-01 nan nan
8.600000000000016520e-01 nan nan
8.700000000000016609e-01 nan nan
8.800000000000016698e-01 nan nan
8.900000000000016787e-01 nan nan
9.000000000000016875e-01 nan nan
9.100000000000016964e-01 nan nan
9.200000000000017053e-01 nan nan
9.300000000000017142e-01 nan nan
9.400000000000017231e-01 nan nan
9.500000000000017319e-01 nan nan
9.600000000000017408e-01 nan nan
9.700000000000017497e-01 nan nan
9.800000000000017586e-01 nan nan
9.900000000000017675e-01 nan nan
