	distance_nm	Avg_order_param	StdDev_order_param
0	-1.0		
1	-0.99		
2	-0.9800000000000001		
3	-0.97		
4	-0.96		
5	-0.95		
6	-0.9399999999999998		
7	-0.93		
8	-0.9200000000000002		
9	-0.9099999999999999		
10	-0.9		
11	-0.8899999999999999		
12	-0.8799999999999999		
13	-0.8699999999999999		
14	-0.8599999999999998		
15	-0.8499999999999999		
16	-0.8399999999999999		
17	-0.8299999999999998		
18	-0.82		
19	-0.8099999999999998		
20	-0.7999999999999998		
21	-0.7899999999999998		
22	-0.7799999999999998		
23	-0.7699999999999998		
24	-0.7599999999999998		
25	-0.7499999999999998	-0.2530409526079893	
26	-0.7399999999999998	-0.2664519429206848	0.019017528472210714
27	-0.7299999999999998	-0.26945637464523314	0.010158119965092607
28	-0.7199999999999998	-0.2758829742670059	0.004201595333250464
29	-0.7099999999999997	-0.2808880120515823	0.001454147023995235
30	-0.6999999999999997	-0.2806460052728653	0.0015803089991273593
31	-0.6899999999999997	-0.27738304883241655	0.0009462946993799608
32	-0.6799999999999997	-0.26992492079734803	0.001587715498425027
33	-0.6699999999999997	-0.2607104778289795	0.001945331773194453
34	-0.6599999999999997	-0.24936309307813645	0.0027382417850369393
35	-0.6499999999999997	-0.2360036179423332	0.003535058292581306
36	-0.6399999999999997	-0.22195839136838913	0.00404429664980187
37	-0.6299999999999997	-0.20631251186132432	0.005256575223038844
38	-0.6199999999999997	-0.19144684225320815	0.006721014126174185
39	-0.6099999999999997	-0.17711115926504134	0.007531190309476898
40	-0.5999999999999996	-0.16174728274345399	0.007827852941615256
41	-0.5899999999999996	-0.14937521368265153	0.010507879123618993
42	-0.5799999999999996	-0.13492664098739623	0.01228544197024644
43	-0.5699999999999996	-0.1208164244890213	0.014711776445297456
44	-0.5599999999999996	-0.10538628846406936	0.016335437782930534
45	-0.5499999999999996	-0.08877793848514556	0.017817483481886342
46	-0.5399999999999996	-0.06816157698631287	0.019356640944105254
47	-0.5299999999999996	-0.045538637042045596	0.02186819022473511
48	-0.5199999999999996	-0.0222345769405365	0.022099345448617903
49	-0.5099999999999996	0.001532718539237976	0.024324368615007187
50	-0.49999999999999967	0.023118072748184205	0.025724386620511405
51	-0.4899999999999996	0.044118794798851016	0.028961553897056052
52	-0.4799999999999994	0.060622408986091614	0.0350038952073032
53	-0.4699999999999995	0.07484210431575775	0.03701292341376285
54	-0.4599999999999995	0.08624202907085418	0.032692898428573744
55	-0.44999999999999946	0.08587783873081208	0.024233998144197015
56	-0.4399999999999995	0.08253483176231384	0.019628740734562368
57	-0.42999999999999955	0.07705626785755157	0.014238850659393964
58	-0.4199999999999995	0.06736428439617156	0.01152520343335755
59	-0.4099999999999994	0.05992557108402252	0.01101712836572578
60	-0.39999999999999947	0.05249547660350799	0.01128138895172153
61	-0.38999999999999946	0.04229908585548401	0.010474948755014323
62	-0.37999999999999945	0.03274714946746826	0.010409061454169916
63	-0.36999999999999933	0.024418193101882934	0.009358474365030435
64	-0.35999999999999943	0.016441348195075988	0.008594674209507642
65	-0.3499999999999994	0.007661986351013184	0.008317267894490452
66	-0.3399999999999994	0.0009879082441329955	0.009692819299840179
67	-0.3299999999999994	-0.006498262286186218	0.008465827668177505
68	-0.3199999999999994	-0.01328454613685608	0.009460893249034947
69	-0.3099999999999994	-0.018280714750289917	0.009402785463124841
70	-0.2999999999999994	-0.02089819312095642	0.01031943615654761
71	-0.28999999999999937	-0.02514370083808899	0.012501738545234462
72	-0.27999999999999936	-0.023060089349746703	0.014429040645252215
73	-0.2699999999999993	-0.021125993132591246	0.016471943940050075
74	-0.2599999999999993	-0.01625184714794159	0.01527323088910735
75	-0.24999999999999928	-0.010044848918914795	0.014666523932283976
76	-0.23999999999999927	-0.004632464051246643	0.01295990051741799
77	-0.22999999999999926	-0.000668829679489135	0.014916843652034424
78	-0.2199999999999993	0.004662024974822997	0.015607483401920665
79	-0.2099999999999993	0.00884910523891449	0.015141965920304735
80	-0.1999999999999993	0.012308850884437561	0.014569184902719546
81	-0.18999999999999928	0.01576998233795166	0.015878857685015783
82	-0.17999999999999927	0.016903242468833922	0.014386784090459272
83	-0.16999999999999926	0.01669788360595703	0.015953888403061046
84	-0.15999999999999925	0.01635817289352417	0.015257000059092241
85	-0.14999999999999925	0.0154423326253891	0.014700234990795662
86	-0.13999999999999924	0.01653246283531189	0.01513064539631242
87	-0.12999999999999926	0.015702229738235478	0.012870471828699692
88	-0.11999999999999922	0.015858307480812073	0.01176144749866938
89	-0.10999999999999918	0.012829887866973876	0.01101699010657458
90	-0.0999999999999992	0.009160920977592468	0.010280494252177306
91	-0.08999999999999919	0.004864451289176941	0.010272070196706612
92	-0.07999999999999917	0.0016331493854522706	0.011670479985176018
93	-0.06999999999999917	-0.0015238463878631584	0.01251124166283468
94	-0.059999999999999165	-0.004004809260368347	0.014273023008432546
95	-0.04999999999999916	-0.005790320038795471	0.01543264080844499
96	-0.03999999999999915	-0.0069942474365234375	0.016410851543397467
97	-0.02999999999999914	-0.0070259690284729	0.014262863764464255
98	-0.01999999999999913	-0.009252434968948365	0.009345786065189562
99	-0.00999999999999912	-0.011190930008888244	0.007917007019418118
100	8.881784197001252e-16	-0.01004873812198639	0.006153569686537901
101	0.010000000000000895	-0.009001818299293519	0.005358815799141901
102	0.020000000000000902	-0.007771909236907959	0.0061990372537029746
103	0.030000000000000922	-0.007046210765838623	0.006367568504707195
104	0.040000000000000924	-0.009040540456771851	0.00677220835469063
105	0.05000000000000093	-0.00983957052230835	0.0066167933837385645
