	distance_nm	Avg_No_density_per_nm_sq	StdDev_No_density_per_nm_sq
0	-1.0	0.0	0.0
1	-0.99	0.0	0.0
2	-0.9800000000000001	0.0	0.0
3	-0.97	0.0	0.0
4	-0.96	0.0	0.0
5	-0.95	0.0	0.0
6	-0.9399999999999998	0.0	0.0
7	-0.93	0.0	0.0
8	-0.9200000000000002	0.0	0.0
9	-0.9099999999999999	0.0	0.0
10	-0.9	0.0	0.0
11	-0.8899999999999999	0.0	0.0
12	-0.8799999999999999	0.0	0.0
13	-0.8699999999999999	0.0	0.0
14	-0.8599999999999998	0.0	0.0
15	-0.8499999999999999	0.0	0.0
16	-0.8399999999999999	0.005651743470546872	0.0009312986984257912
17	-0.8299999999999998	0.11367296948019272	0.011650877321268986
18	-0.82	0.7899223071616761	0.05019554772531262
19	-0.8099999999999998	2.6694460611531388	0.07611581315736979
20	-0.7999999999999998	5.898232411584916	0.029268313961066994
21	-0.7899999999999998	9.3991228629777	0.13842917866569607
22	-0.7799999999999998	12.77385181496344	0.09436265210052099
23	-0.7699999999999998	15.836002890166833	0.19681584509219158
24	-0.7599999999999998	19.1236767612756	0.13816938883458033
25	-0.7499999999999998	24.229571201150947	0.1858695238723577
26	-0.7399999999999998	30.887598480913415	0.2937813536997177
27	-0.7299999999999998	42.42750149766624	0.4119266122527894
28	-0.7199999999999998	59.21933271300113	0.7430250044765473
29	-0.7099999999999997	81.03720470240171	1.1351021498126972
30	-0.6999999999999997	106.24776360287993	1.3006419283569632
31	-0.6899999999999997	125.08944571212105	1.571354599345256
32	-0.6799999999999997	139.65371516426208	1.6765795295279808
33	-0.6699999999999997	143.730035142394	1.3303325146104257
34	-0.6599999999999997	139.29847573999237	0.9766490385922982
35	-0.6499999999999997	128.16960032499273	0.4767253442461569
36	-0.6399999999999997	116.10053003652175	0.4911290781959297
37	-0.6299999999999997	104.45693575851492	1.0210306178210995
38	-0.6199999999999997	94.39063369455444	1.0643458442255118
39	-0.6099999999999997	86.45567701905938	0.8859716656327399
40	-0.5999999999999996	80.23912383006883	0.7677008776069549
41	-0.5899999999999996	75.35351064981569	0.8153060528628352
42	-0.5799999999999996	70.34752444935518	0.6138757543023586
43	-0.5699999999999996	65.23980686642481	0.8491304986879991
44	-0.5599999999999996	60.26039297599114	0.6868697584293422
45	-0.5499999999999996	58.088482654551626	0.8593129461140406
46	-0.5399999999999996	55.359283079770364	0.9967486007184366
47	-0.5299999999999996	54.76685274404319	0.8075997646699565
48	-0.5199999999999996	55.11534653900934	0.6323072015459469
49	-0.5099999999999996	55.037361594831076	0.5362729082255985
50	-0.49999999999999967	56.549704337542494	0.6087442181266197
51	-0.4899999999999996	55.088500757524244	0.47554979983798656
52	-0.4799999999999994	54.683899735040015	0.23841814139524342
53	-0.4699999999999995	53.552958519437766	0.40348244556960583
54	-0.4599999999999995	52.722653593607504	0.33515747544040947
55	-0.44999999999999946	53.1077014068267	0.6484761931080177
56	-0.4399999999999995	52.81294475340712	0.8292151843479123
57	-0.42999999999999955	55.53904498499486	0.960993065312274
58	-0.4199999999999995	59.038203450485376	0.8073712426230116
59	-0.4099999999999994	63.76214942033505	0.6324017822557958
60	-0.39999999999999947	68.81216452557419	0.6535994590652469
61	-0.38999999999999946	73.69353889822443	1.061989991680907
62	-0.37999999999999945	77.34392708012845	1.2128511992965183
63	-0.36999999999999933	80.68816396451906	1.2826144379378002
64	-0.35999999999999943	83.73258497351243	1.213641979428544
65	-0.3499999999999994	84.7988957678144	1.0376511156690218
66	-0.3399999999999994	84.78431062337428	0.7006737487494777
67	-0.3299999999999994	83.87734253208063	0.5321447627707465
68	-0.3199999999999994	82.23993217579518	0.2620904378352979
69	-0.3099999999999994	79.32627610242275	0.17971751725877932
70	-0.2999999999999994	78.52436662967436	0.4595830775519879
71	-0.28999999999999937	75.37365638057359	0.5335150898933642
72	-0.27999999999999936	73.01797323918858	0.5346917867295897
73	-0.2699999999999993	70.76497863037726	0.48061767554259993
74	-0.2599999999999993	67.99206920085201	0.5134241266394075
75	-0.24999999999999928	67.31431577015015	0.9491838523461288
76	-0.23999999999999927	64.37536358688939	1.1050288547198115
77	-0.22999999999999926	63.715066750939286	0.9853264754167002
78	-0.2199999999999993	62.45951370752675	1.0314996011809574
79	-0.2099999999999993	61.62446860975344	1.2768529395954271
80	-0.1999999999999993	61.708196454555015	1.4716146488403163
81	-0.18999999999999928	60.09754072260191	1.3692141417924968
82	-0.17999999999999927	60.685139729233285	1.0952660287597897
83	-0.16999999999999926	61.04001452489198	1.1080447137791163
84	-0.15999999999999925	61.74242596541294	0.995543169675011
85	-0.14999999999999925	62.32528480010127	0.9394848468638496
86	-0.13999999999999924	63.30704733522691	0.9434194872171545
87	-0.12999999999999926	64.09587575655557	0.9538039093968292
88	-0.11999999999999922	64.8527535958451	0.7449362996871405
89	-0.10999999999999918	65.68793542934752	0.6803032453073837
90	-0.0999999999999992	66.44700104030306	0.6649172584650751
91	-0.08999999999999919	67.37643936974979	0.8610761416799926
92	-0.07999999999999917	68.2081116528713	0.9094017836665598
93	-0.06999999999999917	69.16375766373385	0.8835299255245207
94	-0.059999999999999165	69.24557120832766	1.1032682260544786
95	-0.04999999999999916	71.4448286755924	1.082076373177005
96	-0.03999999999999915	71.29920512407307	1.1109263105269418
97	-0.02999999999999914	71.74911125147442	1.2776546397019615
98	-0.01999999999999913	72.09541727477453	1.1705279752939841
99	-0.00999999999999912	71.56305950271013	1.0285501533490633
100	8.881784197001252e-16	73.1623205905694	0.8759650771093086
