,distance_nm,Avg_order_param,StdDev_order_param
0,-1.0,,
1,-0.99,,
2,-0.9800000000000001,,
3,-0.97,,
4,-0.96,,
5,-0.95,,
6,-0.9399999999999998,,
7,-0.93,,
8,-0.9200000000000002,,
9,-0.9099999999999999,,
10,-0.9,,
11,-0.8899999999999999,,
12,-0.8799999999999999,,
13,-0.8699999999999999,,
14,-0.8599999999999998,,
15,-0.8499999999999999,,
16,-0.8399999999999999,,
17,-0.8299999999999998,,
18,-0.82,,
19,-0.8099999999999998,,
20,-0.7999999999999998,,
21,-0.7899999999999998,,
22,-0.7799999999999998,,
23,-0.7699999999999998,,
24,-0.7599999999999998,,
25,-0.7499999999999998,-0.25105311498045924,0.09147234634107315
26,-0.7399999999999998,-0.2676076263189316,0.006776310945357421
27,-0.7299999999999998,-0.2721028432250023,0.007121075610058622
28,-0.7199999999999998,-0.2767062157392502,0.0027154200018681064
29,-0.7099999999999997,-0.27912838011980057,0.0012507029357581348
30,-0.6999999999999997,-0.27848042994737626,0.0019038362863979903
31,-0.6899999999999997,-0.275171571969986,0.0021549098104423434
32,-0.6799999999999997,-0.2691028818488121,0.002049005654438181
33,-0.6699999999999997,-0.2596967101097107,0.0019151763255089635
34,-0.6599999999999997,-0.2477346122264862,0.001615909057065626
35,-0.6499999999999997,-0.23409258872270583,0.0014021677802840144
36,-0.6399999999999997,-0.22085621803998948,0.0017621257099473535
37,-0.6299999999999997,-0.20681436657905578,0.0012680822332228408
38,-0.6199999999999997,-0.1926264151930809,0.0018563758485902798
39,-0.6099999999999997,-0.17847271114587784,0.0016208761256403682
40,-0.5999999999999996,-0.1644950717687607,0.0015924884407278984
41,-0.5899999999999996,-0.14955815374851228,0.002704414997527661
42,-0.5799999999999996,-0.135707288980484,0.0037648798751550084
43,-0.5699999999999996,-0.12195647954940796,0.0039261667884241645
44,-0.5599999999999996,-0.10578098893165588,0.006046924600914337
45,-0.5499999999999996,-0.08818672597408295,0.008878821736558571
46,-0.5399999999999996,-0.07085060775279999,0.01078431905134529
47,-0.5299999999999996,-0.054947710037231444,0.01451269055159414
48,-0.5199999999999996,-0.037824800610542296,0.015753265795781356
49,-0.5099999999999996,-0.02017740309238434,0.016628645573933423
50,-0.49999999999999967,-0.002811118960380554,0.01591663785545373
51,-0.4899999999999996,0.01510239839553833,0.014852404251284953
52,-0.4799999999999994,0.032280373573303225,0.01185134787515676
53,-0.4699999999999995,0.0464723527431488,0.009666418508454457
54,-0.4599999999999995,0.05865304172039032,0.007152217176545441
55,-0.44999999999999946,0.06531633734703064,0.006388960369964607
56,-0.4399999999999995,0.0696950078010559,0.005724129910146095
57,-0.42999999999999955,0.06862303614616394,0.004740750999791127
58,-0.4199999999999995,0.06486248970031738,0.004218949861230063
59,-0.4099999999999994,0.05913538336753845,0.0054198599953262355
60,-0.39999999999999947,0.05279293358325958,0.005701545946364176
61,-0.38999999999999946,0.04416880011558533,0.004613607834847452
62,-0.37999999999999945,0.03593844175338745,0.004014026389665053
63,-0.36999999999999933,0.026018711924552917,0.0038464240164793996
64,-0.35999999999999943,0.01576404571533203,0.003676409290543549
65,-0.3499999999999994,0.006993311643600464,0.005417778755435738
66,-0.3399999999999994,-0.0022108137607574465,0.005696238245308675
67,-0.3299999999999994,-0.009105172753334046,0.005569924464637025
68,-0.3199999999999994,-0.014689469337463379,0.006454568960269291
69,-0.3099999999999994,-0.018732899427413942,0.006111244221862714
70,-0.2999999999999994,-0.022945961356163024,0.00491225543266986
71,-0.28999999999999937,-0.02571569085121155,0.004406834793862711
72,-0.27999999999999936,-0.025412315130233766,0.005130868385472237
73,-0.2699999999999993,-0.02225261926651001,0.003927317623165096
74,-0.2599999999999993,-0.016735216975212096,0.0019859994679998264
75,-0.24999999999999928,-0.011780139803886414,0.0032247103445488326
76,-0.23999999999999927,-0.005792295932769776,0.005704696508966344
77,-0.22999999999999926,-0.0001352310180664059,0.006969842134921437
78,-0.2199999999999993,0.004033583402633666,0.010737490093074575
79,-0.2099999999999993,0.007182309031486511,0.012379385092734499
80,-0.1999999999999993,0.010341164469718934,0.014793645588871224
81,-0.18999999999999928,0.012955307960510254,0.01569780673604526
82,-0.17999999999999927,0.01417255699634552,0.015968216005115655
83,-0.16999999999999926,0.013438883423805236,0.015045634912049688
84,-0.15999999999999925,0.012693408131599426,0.01228968209416396
85,-0.14999999999999925,0.011042580008506775,0.01090052692155128
86,-0.13999999999999924,0.008936607837677002,0.009896598917233759
87,-0.12999999999999926,0.007349205017089844,0.00922324527366082
88,-0.11999999999999922,0.005087441205978394,0.00860123932884933
89,-0.10999999999999918,0.004476022720336913,0.007725702603417941
90,-0.0999999999999992,0.0021761983633041384,0.0075771767875882955
91,-0.08999999999999919,-0.0006954550743103027,0.005825609456394707
92,-0.07999999999999917,-0.002890592813491821,0.004983734231638302
93,-0.06999999999999917,-0.003712698817253113,0.005536490942707324
94,-0.059999999999999165,-0.004964020848274231,0.0053273208432368145
95,-0.04999999999999916,-0.005542528629302978,0.005850521144549608
96,-0.03999999999999915,-0.004980659484863282,0.006116642636835223
97,-0.02999999999999914,-0.005428722500801087,0.003997012710492729
98,-0.01999999999999913,-0.0030698180198669434,0.0038910686855044624
99,-0.00999999999999912,-0.003434982895851135,0.002928948164119198
100,8.881784197001252e-16,-0.0032140940427780153,0.0046700599386626405
101,0.010000000000000895,-0.003181523084640503,0.005231463193405056
102,0.020000000000000902,-0.004675289988517762,0.006352443884623627
103,0.030000000000000922,-0.0035964429378509528,0.007869030495389376
