,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols
0,-47.0,0,0.0004929206790346961,0.001029989700102999
1,-47.0,1,0.0004163504764661996,0.0008699913000869992
2,-47.0,2,0.0003349946362371721,0.0006999930000699993
3,-46.0,0,0.00048813504137416505,0.001019989800101999
4,-46.0,1,0.0005503483309610684,0.001149988500114999
5,-46.0,2,0.0004450643024293858,0.0009299907000929991
6,-45.0,0,5.175470918720227,10.814481855181448
7,-45.0,1,10.692803863720489,22.34330656693433
8,-45.0,2,0.0007992014893086819,0.0016699833001669983
9,-43.0,0,11.204225817950796,23.411955880441194
10,-43.0,1,11.253426958738716,23.514764852351476
11,-43.0,2,11.056048119067775,23.102328976710233
12,-42.0,0,11.210428004358844,23.42491575084249
13,-42.0,1,11.231872446715684,23.469725302746973
14,-42.0,2,11.189318556638243,23.38080619193808
