# Bins	angle_mean	angle_std
-3.199999999999993960e-01 nan nan
-3.099999999999993872e-01 nan nan
-2.999999999999993783e-01 nan nan
-2.899999999999993694e-01 nan nan
-2.799999999999993605e-01 nan nan
-2.699999999999993516e-01 nan nan
-2.599999999999993427e-01 nan nan
-2.499999999999993339e-01 nan nan
-2.399999999999993250e-01 1.213224716186523438e+02 2.911476135253906250e+00
-2.299999999999993161e-01 1.201030044555664062e+02 4.560820102691650391e+00
-2.199999999999993072e-01 1.145401000976562500e+02 5.040145874023437500e+00
-2.099999999999992983e-01 1.084232788085937500e+02 4.707525730133056641e+00
-1.999999999999992895e-01 1.013386154174804688e+02 4.497457981109619141e+00
-1.899999999999992806e-01 9.556504058837890625e+01 4.737735271453857422e+00
-1.799999999999992717e-01 9.259677124023437500e+01 3.334085464477539062e+00
-1.699999999999992628e-01 9.217388153076171875e+01 3.891089677810668945e+00
-1.599999999999992539e-01 9.120288848876953125e+01 1.779022693634033203e+00
-1.499999999999992450e-01 9.236995697021484375e+01 2.510946989059448242e+00
-1.399999999999992362e-01 9.330164337158203125e+01 2.063686132431030273e+00
-1.299999999999992273e-01 9.338781738281250000e+01 2.705517768859863281e+00
-1.199999999999992184e-01 9.363141632080078125e+01 2.638908147811889648e+00
-1.099999999999992095e-01 9.302392578125000000e+01 3.325584650039672852e+00
-9.999999999999920064e-02 9.301396942138671875e+01 3.973628282546997070e+00
-8.999999999999919176e-02 9.208212280273437500e+01 4.578177452087402344e+00
-7.999999999999918288e-02 8.698428344726562500e+01 5.415260314941406250e+00
-6.999999999999917399e-02 8.342257690429687500e+01 4.701032638549804688e+00
-5.999999999999916511e-02 7.719441986083984375e+01 7.668327331542968750e+00
-4.999999999999915623e-02 7.452060699462890625e+01 1.551546955108642578e+01
-3.999999999999914735e-02 7.490679168701171875e+01 1.937596702575683594e+01
-2.999999999999913847e-02 8.177848815917968750e+01 2.647392463684082031e+01
-1.999999999999912959e-02 8.736508941650390625e+01 2.089359283447265625e+01
-9.999999999999120703e-03 8.956394195556640625e+01 1.682800102233886719e+01
8.881784197001252323e-16 8.385446929931640625e+01 9.955114364624023438e+00
1.000000000000089706e-02 8.138265991210937500e+01 1.245892620086669922e+01
2.000000000000090594e-02 8.181064605712890625e+01 1.229998874664306641e+01
3.000000000000091482e-02 7.588721466064453125e+01 1.533566284179687500e+01
4.000000000000092371e-02 7.285385131835937500e+01 1.534151268005371094e+01
5.000000000000093259e-02 7.475701141357421875e+01 1.026140975952148438e+01
6.000000000000094147e-02 8.161478424072265625e+01 9.649415969848632812e+00
7.000000000000095035e-02 8.561071014404296875e+01 8.702408790588378906e+00
8.000000000000095923e-02 8.958383178710937500e+01 4.123260021209716797e+00
9.000000000000096811e-02 9.011899566650390625e+01 3.996197700500488281e+00
1.000000000000009770e-01 9.105670928955078125e+01 3.477587938308715820e+00
1.100000000000009859e-01 9.399570465087890625e+01 2.940831422805786133e+00
1.200000000000009948e-01 9.465433502197265625e+01 2.778264522552490234e+00
1.300000000000010036e-01 9.355104827880859375e+01 2.780189752578735352e+00
1.400000000000010125e-01 9.381439208984375000e+01 1.436082839965820312e+00
1.500000000000010214e-01 9.340052032470703125e+01 2.023231744766235352e+00
1.600000000000010303e-01 9.153888702392578125e+01 3.228142499923706055e+00
1.700000000000010392e-01 9.079447174072265625e+01 3.568853139877319336e+00
1.800000000000010481e-01 9.219838714599609375e+01 2.507250070571899414e+00
1.900000000000010569e-01 9.482616424560546875e+01 1.349992752075195312e+00
2.000000000000010658e-01 9.982776641845703125e+01 8.404217362403869629e-01
2.100000000000010747e-01 1.064750671386718750e+02 2.158276796340942383e+00
2.200000000000010836e-01 1.145114364624023438e+02 3.252035856246948242e+00
2.300000000000010925e-01 1.186732482910156250e+02 5.463305950164794922e+00
2.400000000000011013e-01 nan nan
2.500000000000011102e-01 nan nan
2.600000000000011191e-01 nan nan
2.700000000000011280e-01 nan nan
2.800000000000011369e-01 nan nan
2.900000000000011458e-01 nan nan
3.000000000000011546e-01 nan nan
3.100000000000011635e-01 nan nan
3.200000000000011724e-01 nan nan
3.300000000000011813e-01 nan nan
3.400000000000011902e-01 nan nan
3.500000000000011990e-01 nan nan
3.600000000000012079e-01 nan nan
3.700000000000012168e-01 nan nan
3.800000000000012257e-01 nan nan
3.900000000000012346e-01 nan nan
4.000000000000012434e-01 nan nan
4.100000000000012523e-01 nan nan
4.200000000000012612e-01 nan nan
4.300000000000012701e-01 nan nan
4.400000000000012790e-01 nan nan
4.500000000000012879e-01 nan nan
4.600000000000012967e-01 nan nan
4.700000000000013056e-01 nan nan
4.800000000000013145e-01 nan nan
4.900000000000013234e-01 nan nan
5.000000000000013323e-01 nan nan
5.100000000000013411e-01 nan nan
5.200000000000013500e-01 nan nan
5.300000000000013589e-01 nan nan
5.400000000000013678e-01 nan nan
5.500000000000013767e-01 nan nan
5.600000000000013856e-01 nan nan
5.700000000000013944e-01 nan nan
5.800000000000014033e-01 nan nan
5.900000000000014122e-01 nan nan
6.000000000000014211e-01 nan nan
6.100000000000014300e-01 nan nan
6.200000000000014388e-01 nan nan
6.300000000000014477e-01 nan nan
6.400000000000014566e-01 nan nan
6.500000000000014655e-01 nan nan
6.600000000000014744e-01 nan nan
6.700000000000014833e-01 nan nan
6.800000000000014921e-01 nan nan
6.900000000000015010e-01 nan nan
7.000000000000015099e-01 nan nan
7.100000000000015188e-01 nan nan
7.200000000000015277e-01 nan nan
7.300000000000015365e-01 nan nan
7.400000000000015454e-01 nan nan
7.500000000000015543e-01 nan nan
7.600000000000015632e-01 nan nan
7.700000000000015721e-01 nan nan
7.800000000000015810e-01 nan nan
7.900000000000015898e-01 nan nan
8.000000000000015987e-01 nan nan
8.100000000000016076e-01 nan nan
8.200000000000016165e-01 nan nan
8.300000000000016254e-01 nan nan
8.400000000000016342e-01 nan nan
8.500000000000016431e-01 nan nan
8.600000000000016520e-01 nan nan
8.700000000000016609e-01 nan nan
8.800000000000016698e-01 nan nan
8.900000000000016787e-01 nan nan
9.000000000000016875e-01 nan nan
9.100000000000016964e-01 nan nan
9.200000000000017053e-01 nan nan
9.300000000000017142e-01 nan nan
9.400000000000017231e-01 nan nan
9.500000000000017319e-01 nan nan
9.600000000000017408e-01 nan nan
9.700000000000017497e-01 nan nan
9.800000000000017586e-01 nan nan
9.900000000000017675e-01 nan nan
