	Psat_ratio	ChemPot_K	P_bar	P_from_IG_Density_bar	No_mol	Density_kg_per_mcubed
0	0.0026929791892125288	-6295.0	2.7387598354291418e-05	2.755726239034579e-05	83.7213815768463	2.0036165661876245e-05
1	0.009040950667200506	-5934.0	9.194646828542914e-05	9.252693548256141e-05	60.71866924151696	6.727391790219561e-05
2	0.030402184302977135	-5573.0	0.00030919021436127747	0.0003111447136894335	60.498236566866275	0.0002262251939540918
3	0.10188889829485571	-5212.0	0.0010362100956586827	0.0010447165005143097	85.69639115768463	0.0007595860786047903
4	0.3435750509816159	-4852.0	0.003494158268483034	0.0035024039800775624	85.12488530938124	0.002546506448243513
5	0.6399448203102154	-4671.0	0.00650823882255489	0.0064443228239706345	80.19320133732533	0.004685498793992016
6	1.1454176816455586	-4491.0	0.01164889782233533	0.011844512628904957	62.18150776447106	0.008611835743233534
7	1.6259533084077662	-4401.0	0.016535945146506983	0.016087456613619572	84.45618149700599	0.011696769486227545
8	2.102661949772039	-4310.0	0.02138407202918164	0.0219196312438173	66.59376339321358	0.01593719131497006
9	3.9582027722136846	-4130.0	0.04025492219341317	0.0410332294633747	63.82722672654692	0.029834189318762472
10	4.173726806942653	-4085.0	0.04244680162660679	0.048455681427834775	75.37285768463073	0.03523086026067864
11	5.453632788283218	-4040.0	0.05546344545684033	0.06192566417743489	96.3254284231537	0.045024532869660676
12	7.581201205683028	-3950.0	0.07710081626179639	0.08100869392454442	53.16008864271457	0.05889930533473054
