	distance_nm	Avg_No_density_per_nm_sq	StdDev_No_density_per_nm_sq
0	-1.0	0.0	0.0
1	-0.99	0.0	0.0
2	-0.9800000000000001	0.0	0.0
3	-0.97	0.0	0.0
4	-0.96	0.0	0.0
5	-0.95	0.0	0.0
6	-0.9399999999999998	0.0	0.0
7	-0.93	0.0	0.0
8	-0.9200000000000002	0.0	0.0
9	-0.9099999999999999	0.0	0.0
10	-0.9	0.0	0.0
11	-0.8899999999999999	0.0	0.0
12	-0.8799999999999999	0.0	0.0
13	-0.8699999999999999	0.0	0.0
14	-0.8599999999999998	0.0	0.0
15	-0.8499999999999999	8.681765886239686e-05	0.00011251808071458155
16	-0.8399999999999999	0.0053609904347530065	0.0011287078236087203
17	-0.8299999999999998	0.11038865324353761	0.009027135228691118
18	-0.82	0.7834534057816273	0.0223609989363008
19	-0.8099999999999998	2.730773494065189	0.06542442916260943
20	-0.7999999999999998	6.046567782374639	0.07031125382304858
21	-0.7899999999999998	9.574197158308337	0.10502050204771742
22	-0.7799999999999998	12.905227945748138	0.11239868933100937
23	-0.7699999999999998	15.959635967637627	0.10664305201659305
24	-0.7599999999999998	19.120156873071682	0.16344585123155972
25	-0.7499999999999998	24.114624856522365	0.24116887904327738
26	-0.7399999999999998	30.61057169337613	0.3888121031334208
27	-0.7299999999999998	41.86916166010326	0.5417484160130384
28	-0.7199999999999998	58.33391361920967	0.6126923279369183
29	-0.7099999999999997	79.90141688678288	0.8472804736067195
30	-0.6999999999999997	104.66016365882008	1.194606788940692
31	-0.6899999999999997	123.28352818346642	1.3849753078557987
32	-0.6799999999999997	138.01749414769944	1.4143924463868438
33	-0.6699999999999997	142.25191693663925	1.4148875180783804
34	-0.6599999999999997	138.19068452492257	1.253979557993086
35	-0.6499999999999997	127.46446044233964	1.0552416462524508
36	-0.6399999999999997	116.00355277384105	0.7935595531523788
37	-0.6299999999999997	104.5399646101251	0.5572245136701763
38	-0.6199999999999997	94.5781917182403	0.4964257331742866
39	-0.6099999999999997	86.78992062039035	0.6608769608322715
40	-0.5999999999999996	80.54085064871916	0.8116139855580011
41	-0.5899999999999996	75.91151603402899	0.810485072334756
42	-0.5799999999999996	70.66813097041248	0.6650945056953763
43	-0.5699999999999996	65.80220738311492	0.378894136158311
44	-0.5599999999999996	60.75611544926318	0.2388424076218606
45	-0.5499999999999996	58.2492229929894	0.20976625214591424
46	-0.5399999999999996	55.44751947163363	0.4134517204131522
47	-0.5299999999999996	54.630055247992665	0.5401895204591517
48	-0.5199999999999996	54.71249946728987	0.5987829043403445
49	-0.5099999999999996	54.688157966186324	0.6739988916651519
50	-0.49999999999999967	56.217830854304964	0.5833932362726484
51	-0.4899999999999996	55.0450219529402	0.45574407433265063
52	-0.4799999999999994	54.93030326896089	0.23200356734050553
53	-0.4699999999999995	53.89527399221076	0.051762987157873724
54	-0.4599999999999995	53.04482991040944	0.27309973321480696
55	-0.44999999999999946	53.61967133415209	0.41461117939724373
56	-0.4399999999999995	53.57225804020586	0.4718741867221244
57	-0.42999999999999955	56.208487103769905	0.6040934687201142
58	-0.4199999999999995	59.39992594796631	0.6328875554554682
59	-0.4099999999999994	63.750630138744974	0.8099406012497856
60	-0.39999999999999947	68.46094392473904	0.8917444535736269
61	-0.38999999999999946	73.19029248243866	0.8698904077117121
62	-0.37999999999999945	76.73023911372347	0.9256332133598628
63	-0.36999999999999933	80.11025676517637	0.9434176959793523
64	-0.35999999999999943	83.2458718547243	0.6381388661564006
65	-0.3499999999999994	84.12673467374951	0.7679688364625672
66	-0.3399999999999994	84.01765913759628	0.6621468934608331
67	-0.3299999999999994	83.02983696285257	0.5184384050520191
68	-0.3199999999999994	81.44037926439981	0.5000374426430096
69	-0.3099999999999994	78.66943089869604	0.4690635480228935
70	-0.2999999999999994	77.96349481007118	0.3774306712139654
71	-0.28999999999999937	74.8003042616271	0.48929870293022043
72	-0.27999999999999936	72.69639767337785	0.6212086454949739
73	-0.2699999999999993	70.5904834267674	0.6318264569846518
74	-0.2599999999999993	67.99568809089544	0.5004096279936218
75	-0.24999999999999928	67.66799483751933	0.5118073150201773
76	-0.23999999999999927	64.78619117365564	0.47929859649170886
77	-0.22999999999999926	64.26631618018025	0.2767498144879164
78	-0.2199999999999993	63.263919490955026	0.13282462317142057
79	-0.2099999999999993	62.52232304895242	0.23536441786397877
80	-0.1999999999999993	62.59695367895201	0.20767097935152887
81	-0.18999999999999928	61.07681988110087	0.1518729537667618
82	-0.17999999999999927	61.60352091300432	0.24433271719242214
83	-0.16999999999999926	61.758631512769355	0.31961887091090063
84	-0.15999999999999925	62.23967730831854	0.43094699461299435
85	-0.14999999999999925	63.070761052193554	0.599771580509303
86	-0.13999999999999924	63.82170124473121	0.6918876585145642
87	-0.12999999999999926	64.56131173278733	0.6729084598761116
88	-0.11999999999999922	65.49332100508987	0.5925720143239966
89	-0.10999999999999918	66.49015051194054	0.5299988239634403
90	-0.0999999999999992	67.22542011705355	0.5411394892385658
91	-0.08999999999999919	68.0967872546407	0.652967697871433
92	-0.07999999999999917	68.78168091319881	0.6821308459680666
93	-0.06999999999999917	69.2980832003197	0.552427837356029
94	-0.059999999999999165	69.13367225884903	0.6346560274920694
95	-0.04999999999999916	71.15401685044321	0.6788969403608919
96	-0.03999999999999915	70.9674022927185	0.8431056703124121
97	-0.02999999999999914	71.50060379682927	1.0688153682797774
98	-0.01999999999999913	71.67290429304906	1.2614303098795117
99	-0.00999999999999912	71.04362819719968	1.130389767779534
100	8.881784197001252e-16	72.35915447752689	1.0988104155218386
