#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000           -1.25237095e+01  2.59187134e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.51155808e+01 -1.41944802e+01  5.77498805e+01 -7.08634373e-32 -1.20787079e-34  6.71100000e-02  7.43552632e-02
200000           -7.45490700e+00  9.67458796e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.42236580e+00 -7.56644669e+00  5.57693148e+01 -8.24666924e-05  1.50977093e-05  6.47700000e-02  7.17626344e-02
300000           -5.52042536e+00  8.19296061e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.33972142e+00 -5.64893375e+00  5.46667824e+01 -8.24666924e-04  1.50975583e+00  6.33200000e-02  7.01560909e-02
400000           -1.21211633e+01  2.38886098e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.45100243e+01 -1.29826898e+01  5.88047235e+01 -1.51653744e-29 -3.38717761e-29  6.90100000e-02  7.64603891e-02
500000           -4.48058519e+00  8.52060275e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.33264546e+00 -4.81165979e+00  5.41109561e+01 -1.21042394e-29 -4.45705010e-29  6.24900000e-02  6.92364833e-02
600000           -1.25702454e+01  3.99852470e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.65687701e+01 -1.50796809e+01  5.69982993e+01 -1.66109851e-29 -5.75070006e-29  6.69000000e-02  7.41225914e-02
700000           -8.58037163e+00  2.56470328e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.11450749e+01 -1.05440365e+01  5.43281487e+01 -3.04851033e-29 -7.10211826e-29  6.28300000e-02  6.96131901e-02
800000           -3.79775582e+00  4.73102774e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.27085860e+00 -3.96960266e+00  5.14106877e+01 -9.28016594e-30 -8.26842694e-29  5.91500000e-02  6.55358936e-02
900000           -1.77469644e+01  7.13329313e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.48802575e+01 -2.36303134e+01  6.20021121e+01 -6.15238745e-29 -9.34941182e-29  7.23500000e-02  8.01609788e-02
1000000          -4.50897160e+00  7.26790949e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.23576254e+00 -4.82125971e+00  5.34918107e+01 -9.27503876e-29 -1.08944942e-28  6.16600000e-02  6.83168757e-02
1100000          -4.56712611e+00  4.17985932e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.98511204e+00 -4.29571817e+00  5.75619468e+01 -2.99680503e-28 -1.21295660e-28  6.66300000e-02  7.38234419e-02
1200000          -3.69326983e+00  1.02691060e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.72018043e+00 -4.03012077e+00  5.19048774e+01 -8.39130565e-05  1.50952439e-05  6.01600000e-02  6.66549342e-02
1300000          -2.66797443e+00  5.56300522e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.22427496e+00 -2.42713451e+00  5.40358791e+01 -8.39130565e-05  1.50950930e+00  6.27200000e-02  6.94913143e-02
1400000          -4.52461954e+00  1.28760250e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.81222204e+00 -5.34639184e+00  5.61506612e+01 -3.97675512e-29 -1.61061647e-28  6.47600000e-02  7.17515548e-02
1500000          -1.11642355e+01  2.80772919e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.39719647e+01 -1.27299853e+01  5.86267256e+01 -2.77577575e-29 -1.74876977e-28  6.84800000e-02  7.58731697e-02
1600000          -4.85877329e+00  1.53560585e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.39437914e+00 -6.01983132e+00  5.16433836e+01 -1.06147637e-28 -1.84524663e-28  5.95000000e-02  6.59236799e-02
1700000          -1.99546374e+00  2.36295808e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.23175955e+00 -1.74298944e+00  5.15728739e+01 -8.08824250e-29 -1.94034118e-28  5.95500000e-02  6.59790780e-02
1800000          -3.71061722e+00  9.48617023e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.65923424e+00 -4.10130955e+00  5.29986884e+01 -1.84455306e-28 -2.04068206e-28  6.12600000e-02  6.78736913e-02
1900000          -1.88672750e+00  3.54083159e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.24081066e+00 -1.70286873e+00  5.12089717e+01 -4.35665815e-29 -2.18084100e-28  5.91900000e-02  6.55802120e-02
2000000          -1.11050373e+03  2.35262679e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.34576641e+03 -1.17355729e+03  2.03272922e+02 -2.31446435e-29 -2.29174185e-28  4.29490000e-01  4.75858173e-01
2100000          -7.72701795e+00  1.54093415e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.26795210e+00 -8.49859430e+00  5.68437797e+01 -4.96435158e-30 -2.78236929e-28  6.59000000e-02  7.30146303e-02
2200000          -3.60059533e+00  1.64819570e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.76541491e+00 -3.16824783e+00  5.32654339e+01 -3.23401935e-29 -2.89702630e-28  6.16100000e-02  6.82614776e-02
2300000          -6.26326329e+00  1.81693463e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.08019792e+00 -7.66856004e+00  5.37219809e+01 -2.91796824e-28 -2.97756182e-28  6.19200000e-02  6.86049455e-02
2400000          -3.04179953e+00  1.81175709e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.22297523e+00 -2.65924201e+00  5.28704848e+01 -8.41339614e-05  1.50948674e-05  6.11200000e-02  6.77185767e-02
2500000          -1.94159836e+00  1.27687728e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.06928608e+00 -1.60254225e+00  5.28450790e+01 -8.41339614e-05  1.50947164e+00  6.09800000e-02  6.75634622e-02
2600000          -2.86924538e+00  2.49352429e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.11859781e+00 -2.50670420e+00  5.31195697e+01 -3.67820545e-28 -3.31694848e-28  6.14600000e-02  6.80952835e-02
2700000          -5.22040028e+00  1.66813072e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.88853100e+00 -6.34899711e+00  5.15046251e+01 -4.94144474e-29 -3.36571441e-28  5.95300000e-02  6.59569187e-02
2800000          -3.10694962e+01  1.38296881e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.48991843e+01 -4.46539387e+01  6.47990250e+01 -6.28197993e-29 -3.45004534e-28  7.44000000e-02  8.24322989e-02
2900000          -1.14427730e+01  2.62837562e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.40711486e+01 -1.36416572e+01  5.82852024e+01 -5.46007090e-29 -3.57533648e-28  6.71600000e-02  7.44106612e-02
3000000          -1.01849418e+00  6.95061267e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.08800031e+00 -6.73810943e-01  5.35358367e+01 -3.03246447e-29 -3.68379429e-28  6.17100000e-02  6.83722737e-02
3100000          -2.16787526e+01  6.05428425e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.77330368e+01 -2.72343754e+01  6.21501616e+01 -8.25208474e-29 -3.79919673e-28  7.16600000e-02  7.93964857e-02
3200000          -3.49148610e+00  3.85920129e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.87740623e+00 -3.36294965e+00  5.53589216e+01 -3.42868001e-29 -3.88614231e-28  6.39100000e-02  7.08097879e-02
3300000          -4.57782159e+00  8.53252860e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.43107445e+00 -4.69108676e+00  5.27903979e+01 -8.05600315e-29 -4.03604957e-28  6.12300000e-02  6.78404524e-02
3400000          -6.31118792e+00  6.88770644e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.99995856e+00 -5.78277237e+00  5.45949944e+01 -3.41327483e-28 -4.12536640e-28  6.38400000e-02  7.07322307e-02
3500000          -4.40971782e+00  1.20560262e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.61532044e+00 -5.07097077e+00  5.36329816e+01 -6.22847453e-29 -4.24325067e-28  6.19700000e-02  6.86603436e-02
3600000          -1.49900470e+00  2.21286032e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.72029073e+00 -1.28400164e+00  4.90288296e+01 -3.56233347e-29 -4.32666132e-28  5.65800000e-02  6.26884338e-02
3700000          -5.62336607e+00  1.15094853e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.77431460e+00 -5.97220891e+00  5.51761826e+01 -7.35775738e-29 -4.47357343e-28  6.40300000e-02  7.09427433e-02
3800000          -1.99637721e+00  3.16659356e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.31303656e+00 -1.85256162e+00  5.22918273e+01 -6.24908644e-29 -4.62689763e-28  6.03400000e-02  6.68543671e-02
3900000          -1.41006887e+01  3.12480880e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.72254975e+01 -1.58392471e+01  5.65853301e+01 -1.69127145e-28 -4.72426160e-28  6.63100000e-02  7.34688944e-02
4000000          -3.73929552e+00  3.67378409e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.10667393e+00 -3.55758922e+00  5.00263327e+01 -5.94369658e-29 -4.82241729e-28  5.78500000e-02  6.40955442e-02
4100000          -1.09061629e+01  3.12654859e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.40327115e+01 -1.28895800e+01  5.72306043e+01 -2.57155211e-29 -4.86226469e-28  6.67700000e-02  7.39785564e-02
4200000          -2.98989461e+01  3.33423014e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.32331763e+01 -3.05617840e+01  6.49082060e+01 -8.43956209e-05  1.50944214e-05  7.73000000e-02  8.56453858e-02
4300000          -2.38136414e+00  3.91850074e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.77321421e+00 -2.36835387e+00  5.49876798e+01 -8.43956209e-05  1.50942705e+00  6.33600000e-02  7.02004094e-02
4400000          -9.59871665e+00  2.93943769e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.25381543e+01 -1.22096682e+01  5.94265662e+01 -1.13807188e-28 -5.23970963e-28  6.83500000e-02  7.57291348e-02
4500000          -3.36856270e+00  9.27775795e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.46134028e+00 -2.47759439e+00  5.19521491e+01 -1.88566834e-28 -5.35541055e-28  6.05500000e-02  6.70870390e-02
4600000          -5.95670917e+00  9.81841291e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.93855046e+00 -5.89308538e+00  5.43733026e+01 -8.31007359e-29 -5.44393085e-28  6.33900000e-02  7.02336482e-02
4700000          -6.86382375e+00  1.95053255e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.81435630e+00 -8.37376054e+00  5.59311054e+01 -4.56096026e-29 -5.54737005e-28  6.44800000e-02  7.14413257e-02
4800000          -3.97078806e+00  8.25407880e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.79619594e+00 -4.18768837e+00  5.39185241e+01 -1.12259015e-28 -5.62599313e-28  6.23700000e-02  6.91035280e-02
4900000          -5.69086464e+00  4.62066330e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.15293097e+00 -5.14807580e+00  5.53493610e+01 -2.16996699e-28 -5.68829375e-28  6.44600000e-02  7.14191665e-02
5000000          -4.47716329e+00  8.09077111e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.28624040e+00 -4.69274709e+00  5.08911451e+01 -1.37333442e-29 -5.82123068e-28  5.88900000e-02  6.52478237e-02
5100000          -7.81515945e+00  1.35743329e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.17259274e+00 -8.28636335e+00  5.46811609e+01 -8.39159194e-05  1.50952390e-05  6.35600000e-02  7.04220016e-02
