# Bins	S_mean	S_std
-5.399999999999995914e-01 -9.542597457766532898e-02 2.811392479134609389e-03
-5.299999999999995826e-01 -8.191205561161041260e-02 4.022214139860291401e-03
-5.199999999999995737e-01 -6.147627718746662140e-02 6.362880328015014034e-03
-5.099999999999995648e-01 -4.370887205004692078e-02 6.077212033181963492e-03
-4.999999999999995559e-01 -2.533037029206752777e-02 6.525326386132413933e-03
-4.899999999999995470e-01 -9.028932079672813416e-03 4.760651175284717589e-03
-4.799999999999995381e-01 6.612487137317657471e-03 6.576833682194614845e-03
-4.699999999999995293e-01 1.931310445070266724e-02 4.743356020164709100e-03
-4.599999999999995204e-01 3.055892512202262878e-02 3.381239552125393441e-03
-4.499999999999995115e-01 3.589207865297794342e-02 4.038438308249108627e-03
-4.399999999999995026e-01 4.206150583922863007e-02 2.465735483834250157e-03
-4.299999999999994937e-01 3.729642182588577271e-02 4.818296857422832077e-03
-4.199999999999994849e-01 3.270645812153816223e-02 3.352146935189895000e-03
-4.099999999999994760e-01 2.458607032895088196e-02 2.729207393689139435e-03
-3.999999999999994671e-01 1.652737334370613098e-02 1.816734321331699284e-03
-3.899999999999994582e-01 7.926534861326217651e-03 2.184472894558265373e-03
-3.799999999999994493e-01 1.201840117573738098e-03 3.413614285460787531e-03
-3.699999999999994404e-01 -1.043828763067722321e-02 4.217511218411898986e-03
-3.599999999999994316e-01 -1.993352547287940979e-02 2.403168915501364619e-03
-3.499999999999994227e-01 -3.206111118197441101e-02 1.937480454948161063e-03
-3.399999999999994138e-01 -3.904071636497974396e-02 3.637462479320242512e-03
-3.299999999999994049e-01 -4.742071963846683502e-02 3.943117984242903648e-03
-3.199999999999993960e-01 -5.028196051716804504e-02 3.416062713141655629e-03
-3.099999999999993872e-01 -5.574556998908519745e-02 2.856245589742065390e-03
-2.999999999999993783e-01 -5.538573488593101501e-02 1.868209274458403285e-03
-2.899999999999993694e-01 -5.513673089444637299e-02 3.122332951424170149e-03
-2.799999999999993605e-01 -5.605402961373329163e-02 2.831514415143929469e-03
-2.699999999999993516e-01 -5.143589712679386139e-02 3.298026082457690758e-03
-2.599999999999993427e-01 -4.440102726221084595e-02 2.554026454688048970e-03
-2.499999999999993339e-01 -4.182118363678455353e-02 2.619439693559755082e-03
-2.399999999999993250e-01 -3.512605465948581696e-02 2.320899540376797961e-03
-2.299999999999993161e-01 -3.085356391966342926e-02 4.224162409972994844e-03
-2.199999999999993072e-01 -2.503548376262187958e-02 3.629042947851857624e-03
-2.099999999999992983e-01 -2.054780162870883942e-02 3.468577936078161197e-03
-1.999999999999992895e-01 -1.669849641621112823e-02 4.975002916508669375e-03
-1.899999999999992806e-01 -1.502605527639389038e-02 2.719908339355417079e-03
-1.799999999999992717e-01 -1.079577021300792694e-02 5.159575989058710378e-03
-1.699999999999992628e-01 -1.293372549116611481e-02 2.125087417836291070e-03
-1.599999999999992539e-01 -1.678492501378059387e-02 2.874347266814501235e-03
-1.499999999999992450e-01 -1.676419936120510101e-02 2.990624724507032380e-03
-1.399999999999992362e-01 -1.925753615796566010e-02 2.319924829475374355e-03
-1.299999999999992273e-01 -2.091484516859054565e-02 5.098609239457626077e-03
-1.199999999999992184e-01 -2.337921969592571259e-02 3.258374213103226984e-03
-1.099999999999992095e-01 -2.772863954305648804e-02 2.788210220421191016e-03
-9.999999999999920064e-02 -3.070614859461784363e-02 3.262758476672493295e-03
-8.999999999999919176e-02 -3.385036811232566833e-02 1.692669625992143266e-03
-7.999999999999918288e-02 -3.273141756653785706e-02 5.051936387392382856e-03
-6.999999999999917399e-02 -3.849651850759983063e-02 3.576980238777979163e-03
-5.999999999999916511e-02 -3.819356858730316162e-02 4.845726269757799284e-03
-4.999999999999915623e-02 -3.842099197208881378e-02 3.683727053357506269e-03
-3.999999999999914735e-02 -3.995845653116703033e-02 3.197982846055037916e-03
-2.999999999999913847e-02 -3.983485698699951172e-02 2.656250230969161956e-03
-1.999999999999912959e-02 -4.142810031771659851e-02 3.911257031172065378e-03
-9.999999999999120703e-03 -3.991314955055713654e-02 2.642329619759949642e-03
8.881784197001252323e-16 -4.346413724124431610e-02 4.855058508643672957e-03
1.000000000000089706e-02 -4.041715897619724274e-02 4.186858954690847977e-03
2.000000000000090594e-02 -4.120424762368202209e-02 3.452659926281066022e-03
3.000000000000091482e-02 -4.142342321574687958e-02 1.596688227375818447e-03
4.000000000000092371e-02 -4.013174958527088165e-02 3.216076488062366134e-03
5.000000000000093259e-02 -4.055148735642433167e-02 3.694828369219275207e-03
6.000000000000094147e-02 -3.935649059712886810e-02 3.351113516682456550e-03
7.000000000000095035e-02 -3.877172432839870453e-02 9.700527631264785691e-04
8.000000000000095923e-02 -3.553387336432933807e-02 3.879117193749409380e-03
9.000000000000096811e-02 -3.489090874791145325e-02 3.787808326513720722e-03
1.000000000000009770e-01 -2.823405712842941284e-02 3.610698792954404688e-03
1.100000000000009859e-01 -2.693600207567214966e-02 3.797117128509862934e-03
1.200000000000009948e-01 -2.558057568967342377e-02 3.948158561871592878e-03
1.300000000000010036e-01 -2.154011838138103485e-02 3.240911029292217489e-03
1.400000000000010125e-01 -1.772083155810832977e-02 3.506333526233042317e-03
1.500000000000010214e-01 -1.526246406137943268e-02 3.149894504186095956e-03
1.600000000000010303e-01 -1.253315992653369904e-02 4.404308922813551276e-03
1.700000000000010392e-01 -1.551053486764431000e-02 2.319285246018750867e-03
1.800000000000010481e-01 -1.413044892251491547e-02 4.063346978352588845e-03
1.900000000000010569e-01 -1.398091576993465424e-02 2.262122083884563015e-03
2.000000000000010658e-01 -1.827166229486465454e-02 4.772447144717652766e-03
2.100000000000010747e-01 -2.266811020672321320e-02 3.203417034225113699e-03
2.200000000000010836e-01 -2.588741481304168701e-02 4.034994970400817074e-03
2.300000000000010925e-01 -2.818390540778636932e-02 3.074458212927633390e-03
2.400000000000011013e-01 -3.485080972313880920e-02 2.767983020687487215e-03
2.500000000000011102e-01 -3.906246460974216461e-02 2.589597193314386540e-03
2.600000000000011191e-01 -4.781734012067317963e-02 4.692181993736535897e-03
