# Bins	Density_mean	Density_std
-7.199999999999997513e-01 6.020029463075419329e+01 4.658411953844461273e-01
-7.099999999999997424e-01 8.252796167218232881e+01 5.101243392091669993e-01
-6.999999999999997335e-01 1.065246701812960310e+02 4.404114177245194162e-01
-6.899999999999997247e-01 1.281014252396520874e+02 3.727683319351532965e-01
-6.799999999999997158e-01 1.411039391073838374e+02 4.612932663842264081e-01
-6.699999999999997069e-01 1.449544995304433712e+02 3.275501121599637688e-01
-6.599999999999996980e-01 1.396012605373136068e+02 5.055352842715125083e-01
-6.499999999999996891e-01 1.293158174186491181e+02 7.943776282610107708e-01
-6.399999999999996803e-01 1.170402866240584672e+02 7.031157972584313187e-01
-6.299999999999996714e-01 1.048903826066054421e+02 4.417176273961755939e-01
-6.199999999999996625e-01 9.524019507301329668e+01 2.951758743657095785e-01
-6.099999999999996536e-01 8.722401024613633069e+01 6.701552269292019304e-01
-5.999999999999996447e-01 8.090165040080206893e+01 2.351262028291112582e-01
-5.899999999999996358e-01 7.562504089304648858e+01 2.789210995361349199e-01
-5.799999999999996270e-01 7.090990616474276464e+01 3.438690405212640466e-01
-5.699999999999996181e-01 6.589622979825256266e+01 5.955425120694608498e-01
-5.599999999999996092e-01 6.147109066887422557e+01 5.721488008634040279e-01
-5.499999999999996003e-01 5.789086995443964412e+01 1.767798022422552850e-01
-5.399999999999995914e-01 5.530284439821444664e+01 4.264951198872561910e-01
-5.299999999999995826e-01 5.483651552253577677e+01 1.545812386029591923e-01
-5.199999999999995737e-01 5.521994781738213476e+01 3.330807153272365984e-01
-5.099999999999995648e-01 5.563699453332201017e+01 2.079403537724011652e-01
-4.999999999999995559e-01 5.613636809414343531e+01 2.960543113911038304e-01
-4.899999999999995470e-01 5.583782645595697858e+01 4.263329779536507713e-01
-4.799999999999995381e-01 5.464821779081703568e+01 1.670752496943277432e-01
-4.699999999999995293e-01 5.366314433199185174e+01 1.823971629384459614e-01
-4.599999999999995204e-01 5.283246931581655303e+01 2.110714072339726355e-01
-4.499999999999995115e-01 5.277065296516153126e+01 3.535022192880121206e-01
-4.399999999999995026e-01 5.391468275424247025e+01 2.695657951738804625e-01
-4.299999999999994937e-01 5.633064805334493741e+01 2.419049131961335530e-01
-4.199999999999994849e-01 6.021282882167041350e+01 2.452749661937582704e-01
-4.099999999999994760e-01 6.508321659655011615e+01 3.335345398018378371e-01
-3.999999999999994671e-01 7.013933829137026521e+01 3.293003563222435814e-01
-3.899999999999994582e-01 7.547035758242125780e+01 6.537996828672810734e-01
-3.799999999999994493e-01 7.980177514790327109e+01 4.143104791202587567e-01
-3.699999999999994404e-01 8.296067612676748126e+01 3.845501372747751612e-01
-3.599999999999994316e-01 8.511513262448140438e+01 2.801224289632456288e-01
-3.499999999999994227e-01 8.585977751209534858e+01 4.416225451076933872e-01
-3.399999999999994138e-01 8.551337805404693881e+01 2.551545774151981472e-01
-3.299999999999994049e-01 8.457473807520686648e+01 3.290706026295830977e-01
-3.199999999999993960e-01 8.236587179419748850e+01 4.765110697563798570e-01
-3.099999999999993872e-01 7.984479021218395189e+01 5.252488861909705431e-01
-2.999999999999993783e-01 7.784729596889820868e+01 4.027770254570915975e-01
-2.899999999999993694e-01 7.526325856432816863e+01 3.070173773029634678e-01
-2.799999999999993605e-01 7.305410741534342378e+01 3.761162484969730602e-01
-2.699999999999993516e-01 7.076661757313226531e+01 2.382175975663778367e-01
-2.599999999999993427e-01 6.890301127826982963e+01 3.973277208408783068e-01
-2.499999999999993339e-01 6.706931612082112792e+01 2.854939970465489862e-01
-2.399999999999993250e-01 6.561136182288380780e+01 3.711596876453491789e-01
-2.299999999999993161e-01 6.427248233865061877e+01 2.809826578294769561e-01
-2.199999999999993072e-01 6.342813365965761818e+01 4.522939191869612685e-01
-2.099999999999992983e-01 6.266525722162007384e+01 3.246395242584715901e-01
-1.999999999999992895e-01 6.210606138597120207e+01 4.666112219221601465e-01
-1.899999999999992806e-01 6.177618427049418415e+01 2.441687486555282338e-01
-1.799999999999992717e-01 6.195508135902575475e+01 3.175191920065896234e-01
-1.699999999999992628e-01 6.234250180552727727e+01 3.749649323666751632e-01
-1.599999999999992539e-01 6.269716243486138296e+01 4.261731545253570341e-01
-1.499999999999992450e-01 6.325721287443636953e+01 4.195744583625058977e-01
-1.399999999999992362e-01 6.403974520277435545e+01 3.286501226553280031e-01
-1.299999999999992273e-01 6.498522201302327517e+01 2.999344596751196690e-01
-1.199999999999992184e-01 6.604094272973989632e+01 2.680781711735369388e-01
-1.099999999999992095e-01 6.692659726516137653e+01 2.535265765960725282e-01
-9.999999999999920064e-02 6.782136757579465325e+01 2.564773818538512717e-01
-8.999999999999919176e-02 6.850106256502452595e+01 3.136752150184916044e-01
-7.999999999999918288e-02 6.931749418243140326e+01 3.989437423330400301e-01
-6.999999999999917399e-02 7.023249011931584107e+01 2.399420482868936388e-01
-5.999999999999916511e-02 7.096089753233377451e+01 2.375872350628396856e-01
-4.999999999999915623e-02 7.125345694303749156e+01 4.226765002839853458e-01
-3.999999999999914735e-02 7.194796506698654071e+01 2.687433065560270729e-01
-2.999999999999913847e-02 7.242141564204941062e+01 4.942156434594837666e-01
-1.999999999999912959e-02 7.300738906738294531e+01 3.847653227557905620e-01
-9.999999999999120703e-03 7.308173960895419441e+01 2.869428042859248906e-01
8.881784197001252323e-16 7.312902769286542082e+01 7.091855615844827598e-01
1.000000000000089706e-02 7.327943798386010599e+01 4.340460716233107141e-01
2.000000000000090594e-02 7.295896151157026566e+01 2.908130923148036229e-01
3.000000000000091482e-02 7.264845541841830823e+01 3.275767439473248333e-01
4.000000000000092371e-02 7.213312925097622497e+01 2.376201931005450518e-01
5.000000000000093259e-02 7.153604597460331149e+01 3.821038548566724757e-01
6.000000000000094147e-02 7.092471929946194109e+01 2.819836129244072676e-01
7.000000000000095035e-02 7.033475772247324187e+01 3.850174850956731287e-01
8.000000000000095923e-02 6.942631374902225616e+01 2.855047980886388781e-01
9.000000000000096811e-02 6.877510555732925468e+01 4.443385253739116081e-01
1.000000000000009770e-01 6.813700129250324267e+01 2.708038341255903370e-01
1.100000000000009859e-01 6.694967157116624890e+01 5.139334084103253097e-01
1.200000000000009948e-01 6.645343155807385926e+01 4.347436241333856866e-01
1.300000000000010036e-01 6.475647302880216216e+01 3.716590498043261803e-01
1.400000000000010125e-01 6.442830512117734543e+01 4.756369704165512302e-01
1.500000000000010214e-01 6.359592089714982421e+01 3.108282972169226777e-01
1.600000000000010303e-01 6.290141277320078217e+01 4.485098588908330020e-01
1.700000000000010392e-01 6.232683406688198602e+01 2.240649156303794465e-01
1.800000000000010481e-01 6.200122997103549238e+01 3.390449528965747139e-01
1.900000000000010569e-01 6.209836995063624698e+01 4.395493474843829573e-01
2.000000000000010658e-01 6.186022032322796349e+01 3.303579410122111648e-01
2.100000000000010747e-01 6.244078125702949222e+01 3.452092138637087304e-01
2.200000000000010836e-01 6.327003193332795661e+01 3.704518267111375218e-01
2.300000000000010925e-01 6.394203548722286712e+01 2.337632923924003181e-01
2.400000000000011013e-01 6.546351534366742442e+01 5.366500609751568840e-01
2.500000000000011102e-01 6.684256121242758297e+01 3.621621028920922747e-01
2.600000000000011191e-01 6.846915735178320972e+01 2.156004598032020825e-01
2.700000000000011280e-01 7.042221219091143780e+01 3.357765784944591880e-01
2.800000000000011369e-01 7.263592122750208091e+01 5.446615347958084774e-01
2.900000000000011458e-01 7.518577447502786981e+01 3.904449978007897282e-01
3.000000000000011546e-01 7.747668273294344488e+01 4.087842543093921366e-01
3.100000000000011635e-01 7.991971048970593472e+01 4.455914304387453284e-01
3.200000000000011724e-01 8.232883895739955449e+01 4.169664431599121035e-01
