# Bins	S_mean	S_std
-1.000000000000000000e+00 nan nan
-9.899999999999999911e-01 nan nan
-9.799999999999999822e-01 nan nan
-9.699999999999999734e-01 nan nan
-9.599999999999999645e-01 nan nan
-9.499999999999999556e-01 nan nan
-9.399999999999999467e-01 nan nan
-9.299999999999999378e-01 nan nan
-9.199999999999999289e-01 nan nan
-9.099999999999999201e-01 nan nan
-8.999999999999999112e-01 nan nan
-8.899999999999999023e-01 nan nan
-8.799999999999998934e-01 nan nan
-8.699999999999998845e-01 nan nan
-8.599999999999998757e-01 nan nan
-8.499999999999998668e-01 nan nan
-8.399999999999998579e-01 nan nan
-8.299999999999998490e-01 nan nan
-8.199999999999998401e-01 nan nan
-8.099999999999998312e-01 nan nan
-7.999999999999998224e-01 nan nan
-7.899999999999998135e-01 nan nan
-7.799999999999998046e-01 nan nan
-7.699999999999997957e-01 nan nan
-7.599999999999997868e-01 nan nan
-7.499999999999997780e-01 nan nan
-7.399999999999997691e-01 -3.116374812088906765e-01 2.860356176798501543e-02
-7.299999999999997602e-01 -2.877854891121387482e-01 8.286978958972079229e-03
-7.199999999999997513e-01 -2.943656323477625847e-01 4.970556741812287051e-03
-7.099999999999997424e-01 -2.942558377981185913e-01 2.153285939453833744e-03
-6.999999999999997335e-01 -2.938873721286654472e-01 1.196687835430951946e-03
-6.899999999999997247e-01 -2.893155999481678009e-01 5.347446937966342673e-04
-6.799999999999997158e-01 -2.825374007225036621e-01 1.501072336590909872e-03
-6.699999999999997069e-01 -2.739876834675669670e-01 5.966169702643942278e-04
-6.599999999999996980e-01 -2.622385602444410324e-01 1.321523794374480270e-03
-6.499999999999996891e-01 -2.497345125302672386e-01 1.310726485719992561e-03
-6.399999999999996803e-01 -2.366817882284522057e-01 2.162348445333402234e-03
-6.299999999999996714e-01 -2.228008201345801353e-01 1.194679020462800865e-03
-6.199999999999996625e-01 -2.105576898902654648e-01 1.661584053571327300e-03
-6.099999999999996536e-01 -1.972707752138376236e-01 1.986032788493242909e-03
-5.999999999999996447e-01 -1.835414133965969086e-01 4.554906776903360280e-03
-5.899999999999996358e-01 -1.706091063097119331e-01 3.030713898409823949e-03
-5.799999999999996270e-01 -1.586148096248507500e-01 2.770551286906152919e-03
-5.699999999999996181e-01 -1.453219940885901451e-01 2.766384000071606553e-03
-5.599999999999996092e-01 -1.332601504400372505e-01 2.681441620167150392e-03
-5.499999999999996003e-01 -1.148042753338813782e-01 3.932579253168625236e-03
