# Bins	S_mean	S_std
-1.000000000000000000e+00 nan nan
-9.899999999999999911e-01 nan nan
-9.799999999999999822e-01 nan nan
-9.699999999999999734e-01 nan nan
-9.599999999999999645e-01 nan nan
-9.499999999999999556e-01 nan nan
-9.399999999999999467e-01 nan nan
-9.299999999999999378e-01 nan nan
-9.199999999999999289e-01 nan nan
-9.099999999999999201e-01 nan nan
-8.999999999999999112e-01 nan nan
-8.899999999999999023e-01 nan nan
-8.799999999999998934e-01 nan nan
-8.699999999999998845e-01 nan nan
-8.599999999999998757e-01 nan nan
-8.499999999999998668e-01 nan nan
-8.399999999999998579e-01 nan nan
-8.299999999999998490e-01 nan nan
-8.199999999999998401e-01 nan nan
-8.099999999999998312e-01 nan nan
-7.999999999999998224e-01 nan nan
-7.899999999999998135e-01 nan nan
-7.799999999999998046e-01 nan nan
-7.699999999999997957e-01 nan nan
-7.599999999999997868e-01 nan nan
-7.499999999999997780e-01 nan nan
-7.399999999999997691e-01 -2.879681177437305450e-01 4.966465187241417278e-02
-7.299999999999997602e-01 -2.790561641256014691e-01 8.811305456545751036e-03
-7.199999999999997513e-01 -2.778547629714012146e-01 2.625855778597506636e-03
-7.099999999999997424e-01 -2.781574726104736328e-01 1.100575525501617819e-03
-6.999999999999997335e-01 -2.791245331366856708e-01 2.946840273571183985e-03
-6.899999999999997247e-01 -2.746955131491025104e-01 1.751114985219128948e-03
-6.799999999999997158e-01 -2.684248139460881366e-01 8.266696515319991783e-04
-6.699999999999997069e-01 -2.593745241562525616e-01 1.129078216576226293e-03
-6.599999999999996980e-01 -2.479301393032073975e-01 1.358589970654789942e-03
-6.499999999999996891e-01 -2.343832676609357291e-01 1.622363625489416485e-03
-6.399999999999996803e-01 -2.211429178714752197e-01 1.361303608065073893e-03
-6.299999999999996714e-01 -2.074433416128158569e-01 2.109222081938341101e-03
-6.199999999999996625e-01 -1.929751783609390259e-01 1.544032182019037950e-03
-6.099999999999996536e-01 -1.795393899083137512e-01 2.774374149636318117e-03
-5.999999999999996447e-01 -1.661391009887059622e-01 1.987405829341040969e-03
-5.899999999999996358e-01 -1.518480579058329172e-01 2.858563347786976464e-03
-5.799999999999996270e-01 -1.384922936558723450e-01 2.716464381558790237e-03
-5.699999999999996181e-01 -1.258851041396459036e-01 3.163620231106620620e-03
-5.599999999999996092e-01 -1.076752692461013794e-01 3.326462109097899199e-03
-5.499999999999996003e-01 -9.308045109113056992e-02 3.907125417020996735e-03
