,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols
0,-60.0,0,1.025517968446005e-05,0.00017999640007199856
1,-60.0,1,2.2789288187689e-06,3.999920001599968e-05
2,-60.0,2,1.025517968446005e-05,0.00017999640007199856
3,-57.0,0,2.5068217006457903e-05,0.0004399912001759965
4,-57.0,1,2.05103593689201e-05,0.0003599928001439971
5,-57.0,2,1.82314305501512e-05,0.00031999360012799745
6,-53.0,0,0.00011736483416659837,0.0020599588008239837
7,-53.0,1,0.00013103840707921174,0.0022999540009199814
8,-53.0,2,0.00013103840707921174,0.0022999540009199814
9,-52.0,0,10.054268180332976,176.47005059898802
10,-52.0,1,10.000363537518224,175.52392952140957
11,-52.0,2,10.183611064371023,178.7402451950961
12,-51.0,0,10.448042011999235,183.3814723705526
13,-51.0,1,10.447835768941136,183.37785244295114
14,-51.0,2,10.400285919137522,182.5432691346173
15,-50.0,0,10.746317331514984,188.6167276654467
16,-50.0,1,10.810237866488222,189.73864522709545
17,-50.0,2,10.73644159347885,188.44339113217737
18,-48.0,0,11.190977364775534,196.42129157416852
19,-48.0,1,11.116397140252502,195.1122777544449
20,-48.0,2,11.167965881028014,196.01739965200696
21,-45.0,0,11.533253102459662,202.42883142337152
22,-45.0,1,11.649346294345388,204.4664706705866
23,-45.0,2,11.652781779539682,204.5267694646107
