,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols
0,-60.0,0,1.0255282235231387e-05,0.0001799982000179998
1,-60.0,1,5.127641117615694e-06,8.99991000089999e-05
2,-60.0,2,6.836854823487592e-06,0.00011999880001199988
3,-57.0,0,2.3928991882206573e-05,0.0004199958000419996
4,-57.0,1,2.1080302372420073e-05,0.0003699963000369996
5,-57.0,2,2.7347419293950367e-05,0.00047999520004799953
6,-53.0,0,0.00013217919325409343,0.0023199768002319975
7,-53.0,1,0.00013844631017562373,0.0024299757002429977
8,-53.0,2,0.00012648181423452045,0.0022199778002219978
9,-52.0,0,10.112390829944694,177.49020509794903
10,-52.0,1,10.050030167885957,176.39566604333956
11,-52.0,2,10.156007684766935,178.25575744242556
12,-51.0,0,10.518182662448465,184.61256387436126
13,-51.0,1,10.526749241542296,184.7629223707763
14,-51.0,2,10.432944744674536,183.11648883511165
15,-50.0,0,10.74304966628248,188.55937440625593
16,-50.0,1,10.814224743422399,189.80862191378085
17,-50.0,2,10.780013121885668,189.2081479185208
18,-48.0,0,11.127184051919151,195.30160698393016
19,-48.0,1,11.14080933384446,195.54075459245408
20,-48.0,2,11.165215196350605,195.9691203087969
21,-45.0,0,11.586215042671324,203.35840641593583
22,-45.0,1,11.626341683106178,204.06269937300627
23,-45.0,2,11.619802801205413,203.9479305206948
