	Fugacity_bar	P_bar
0	255.9	0.0013863537567362103
1	258.242	0.001709422789895359
2	260.584	0.002097238667240206
3	262.926	0.002560627384779296
4	265.26800000000003	0.0031118502590514073
5	267.61	0.003764739952364282
6	269.952	0.004534843114064912
7	272.294	0.005439569397972544
8	274.636	0.006498346571968443
9	276.978	0.007732781393535881
10	279.32	0.009166825885145296
11	281.66200000000003	0.010826948606102569
12	284.004	0.012742310483102454
13	286.346	0.014944944730485665
14	288.688	0.017469940363275493
15	291.03000000000003	0.020355628781612713
16	293.372	0.023643772884317113
17	295.714	0.02737975815203894
18	298.056	0.03161278512684643
19	300.398	0.03639606270511031
20	302.74	0.04178700165414462
21	305.082	0.04784740776016456
22	307.424	0.05464367401561908
23	309.766	0.062246971257722106
24	312.108	0.07073343667688012
25	314.45	0.08018435962354005
26	316.79200000000003	0.09068636415455554
27	319.134	0.10233158777531322
28	321.476	0.1152178558513674
29	323.818	0.12944885118296798
30	326.16	0.14513427825744796
31	328.502	0.16239002171772868
32	330.844	0.18133829860999454
33	333.18600000000004	0.2021078039996512
34	335.528	0.22483384957184488
35	337.87	0.24965849486084643
36	340.212	0.2767306707812786
37	342.554	0.3062062951633902
38	344.896	0.338248380024039
39	347.238	0.37302713033469587
40	349.58000000000004	0.41072003407740726
41	351.922	0.4515119434090421
42	354.264	0.4955951467833496
43	356.606	0.5431694319089936
44	358.948	0.5944421394498786
45	361.29	0.649628207401601
46	363.632	0.7089502061045263
47	365.974	0.7726383638799765
48	368.31600000000003	0.8409305833008829
49	370.658	0.9140724481323701
50	373.0	0.9923172210006919
