	Psat_ratio	Fugacity_bar	P_bar	P_from_IG_Density_bar	No_mol	Density_kg_per_mcubed
0	0.005	0.000157526835982985	-6.168488209353234e-30	0.00016095329450222103	0.0008449751243781094	0.0001170249361597015
1	0.01	0.000315053671966	-1.1865828411691539e-29	0.0003174525117307701	0.0016665671641791046	0.00023081142914925374
2	0.05	0.00157526835982985	0.0018948259582098012	0.0015706592748592268	0.008245671641791047	0.0011419853312288556
3	0.1	0.0031505367196597	0.0018948179979311937	0.003157087878619284	0.01657412935323383	0.002295436130945274
4	0.25	0.00787634179914925	0.006631867169417959	0.00789639667948903	0.04145462686567165	0.005741263764875622
5	0.5	0.0157526835982985	0.01515531707058363	0.01599096189061583	0.08394960199004974	0.011626610693034826
6	1.0	0.031505367196597	0.03126943747255911	0.03234895870210254	0.16982606965174132	0.023520082886567165
7	2.0	0.063010734393194	0.06334378194438632	0.06686299698313622	0.351018407960199	0.048614338584577116
8	3.0	0.094516101589791	0.08325276283156516	0.1119452623184519	0.5876919900497513	0.08139247612089552
