,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols
0,-54.0,0,3.8172630292381906e-05,0.0006699966500167499
1,-51.0,0,0.00012477322438853188,0.0021899890500547497
2,-48.0,0,0.0004375608964858105,0.007679961600191999
3,-46.5,0,0.0008409373479336671,0.014759926200368999
4,-45.0,0,0.0017226111595375624,0.03023484882575587
5,-44.625,0,0.0019507923301659048,0.03423982880085599
6,-44.25,0,0.002299473669553035,0.040359798201008996
7,-43.5,0,22.556580989700883,395.9075804620977
8,-42.0,0,23.15042245846215,406.33054035937465
9,-54.0,1,3.3614704287321375e-05,0.0005899970500147499
10,-51.0,1,0.0001375923912777646,0.0024149879250603746
11,-48.0,1,0.00044582213736998265,0.007824960875195623
12,-46.5,1,0.0008557506074501137,0.015019924900375499
13,-45.0,1,0.002393765763782725,0.04201478992605037
14,-44.625,1,0.003036433330496259,0.05329473352633237
15,-44.25,1,0.002545031933075671,0.044669776651116745
16,-43.5,1,22.757678964007155,399.43720281398595
17,-42.0,1,23.193141609490965,407.08033642691413
18,-54.0,2,3.8457500667698185e-05,0.0006749966250168749
19,-51.0,2,0.00013246472452207154,0.002324988375058125
20,-48.0,2,0.0004284450444756894,0.007519962400187999
21,-46.5,2,0.0008301122736716483,0.014569927150364249
22,-45.0,2,0.001636580306192045,0.02872485637571812
23,-44.625,2,6.704328566622611,117.67273163634182
24,-44.25,2,22.398371674750354,393.1307293463533
25,-43.5,2,22.666102254194982,397.82987085064576
26,-42.0,2,23.255995942144544,408.1835402667957
