,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols
0,-54.0,0,3.702666915641257e-05,0.0006498830210562099
1,-54.0,1,3.98669025305807e-05,0.0006997341010416042
2,-54.0,2,3.587304039475913e-05,0.0006296348118091507
3,-51.0,0,0.00012301787066579186,0.0021591795117855213
4,-51.0,1,0.00014064509488103977,0.002468568230426353
5,-51.0,2,0.00012923099687178437,0.0022682307799916064
6,-48.0,0,0.0004470788355215121,0.007847018133109418
7,-48.0,1,0.00040965384099963327,0.007190143802876058
8,-48.0,2,0.0004243825926388825,0.007448659241336559
9,-47.0,0,0.0006398156638980471,0.011229887701122989
10,-47.0,1,0.0006688722968978693,0.011739882601173987
11,-47.0,2,0.0006454033254494684,0.011327960967025935
12,-46.0,0,0.0010266676993270533,0.018019819801801982
13,-46.0,1,0.0010574335460327474,0.01855981440185598
14,-46.0,2,0.0011370035636338383,0.019956407846587615
15,-45.0,0,0.0021473421524770614,0.037689623103768964
16,-45.0,1,0.002025403248954892,0.03554938135881189
17,-45.0,2,0.0016293352997667266,0.028597693798836907
18,-44.6,0,0.0021905331174387043,0.038447700333806394
19,-44.6,1,0.002358038718250797,0.04138771758028738
20,-44.6,2,22.17974383343994,389.29342706572936
21,-44.3,0,22.29091052313194,391.24459755402444
22,-44.3,1,22.24847188629095,390.49972500275
23,-44.3,2,22.254636450390127,390.6079239207608
24,-43.5,0,22.514175423985655,395.1632883671163
25,-43.5,1,22.633956550755254,397.26565734342654
26,-43.5,2,22.711271693264568,398.62267377326225
27,-42.0,0,23.264804540076497,408.3381466185338
28,-42.0,1,23.084816360517557,405.1790382096179
29,-42.0,2,23.188448266456177,406.9979600203998
