,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols,unc_per_nm^2_unc
0,-63.0,0,1.7092222518976972e-06,2.9999850000749997e-05,7.960144896391795e-07
1,-60.0,0,2.5638333778465457e-06,4.4999775001124996e-05,1.3279689385351933e-06
2,-57.0,0,1.3388907639865294e-05,0.00023499882500587497,2.07758991769326e-06
3,-54.0,0,3.931211179364704e-05,0.00068999655001725,4.258546870381463e-06
4,-51.0,0,16.292035593361923,285.95381523092385,0.2197587207912501
5,-48.0,0,20.243870818158776,355.3154584227079,0.10413234589512378
6,-45.0,0,22.036116546849776,386.7725161374193,0.0800371762487805
7,-53.0,0,5.8968167690470554e-05,0.001034994825025875,4.192083729398977e-06
8,-52.0,0,8.346701996767087e-05,0.0014649926750366247,4.9609313806982695e-06
9,-50.0,0,18.297439568568585,321.1521742391288,0.14252358755058062
10,-49.0,0,19.23709846019774,337.64483677581615,0.12928675415738503
11,-63.0,1,1.1394815012651315e-06,1.9999900000499998e-05,5.69736477560912e-07
12,-60.0,1,3.98818525442796e-06,6.999965000175e-05,1.272183789649467e-06
13,-57.0,1,9.400722385437333e-06,0.00016499917500412497,1.7820857286373025e-06
14,-54.0,1,3.874237104301447e-05,0.0006799966000169999,3.6379470706781594e-06
15,-51.0,1,16.078038973331704,282.1977990110049,0.20301078700690878
16,-48.0,1,20.270209078449394,355.77774111129446,0.0625941241585391
17,-45.0,1,21.940290995389756,385.09060954695224,0.04232577450014565
18,-53.0,1,5.782868618920542e-05,0.0010149949250253748,4.136900282268027e-06
19,-52.0,1,9.087364972589423e-05,0.0015949920250398748,9.852743722246726e-06
20,-50.0,1,18.139637903125134,318.38247808760957,0.11659168515230571
21,-49.0,1,19.432688180926895,341.07777961110196,0.08600762312385679
22,-63.0,2,2.8487037531628286e-07,4.9999750001249995e-06,2.897865800660802e-07
23,-60.0,2,4.557926005060526e-06,7.999960000199999e-05,1.4299088860054813e-06
24,-57.0,2,1.110994463733503e-05,0.00019499902500487497,1.9598472390523663e-06
25,-54.0,2,4.15910747961773e-05,0.00072999635001825,4.926371861123362e-06
26,-51.0,2,0.00013189498377143895,0.0023149884250578748,6.398612726301302e-06
27,-48.0,2,20.201764697724027,354.5764221178894,0.07451696502035422
28,-45.0,2,22.037106471403998,386.7898910505447,0.07026241671160487
29,-53.0,2,6.15320010683171e-05,0.0010799946000269998,6.653742204145519e-06
30,-52.0,2,8.517624221956858e-05,0.0014949925250373748,5.2511666088668304e-06
31,-50.0,2,18.346619305292815,322.0153649231754,0.09606439353950927
32,-49.0,2,19.107918860843814,335.37750811245945,0.06532584706756586
