#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          
2500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.66832822e+06 -1.29141861e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.98606263e+06 -3.17769984e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.72739416e+06 -4.23888466e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.30344263e+06 -7.69100290e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
2900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11768435e+06 -1.93465296e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11224647e+06 -1.92686887e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11992099e+06 -1.93785462e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.84963119e+06 -1.55094617e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.46972234e+06 -2.43858050e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.83589760e+06 -2.96274494e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05  2.63638002e+05  1.47410954e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.91901385e+05  8.22024122e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
3700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.37335657e+06 -8.69179147e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
3800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.87497215e+06 -3.01867851e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.87231759e+06 -3.01487862e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.34474514e+06 -2.25968090e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.10153853e+06 -4.80083077e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.18236824e+06 -5.95787403e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.63621587e+06 -2.67690896e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.13086505e+06 -5.22062754e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.35757331e+06 -3.70950171e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.02800100e+06 -3.23773286e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.24374373e+05  6.32394628e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.17471876e+05  6.42275261e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.83652559e+06 -1.53218606e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
5000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.44223890e+06 -9.67781298e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
5100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.20938982e+06 -2.06592548e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
5200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.72041411e+05  5.64161273e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
5300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -6.40751498e+05  1.79514118e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
5400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.95084297e+05  5.31176355e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
5500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.90305552e+06 -1.62742085e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
5600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.09897920e+06 -1.90787733e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
5700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.16749135e+06 -2.00594958e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
5800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.21232663e+06 -6.38671578e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
5900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.25285467e+06 -2.12814358e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.58267816e+06 -4.03172981e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.56818442e+06 -1.14806699e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -8.95147789e+05 -1.84643442e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
6300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.42704478e+06 -2.37748938e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.77626567e+06 -2.87738435e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.72786091e+06 -2.80809497e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.57663126e+06 -1.16015829e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
6700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -5.15081655e+05  3.59405198e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
6800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -8.99080200e+05 -1.90272522e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
