z-loc_nm,density-ow_nm^-3_mean,density-hw_nm^-3_mean,s_value_mean,density-ow_nm^-3_std,density-hw_nm^-3_std,s_value_std
-1.0,0.0,0.0,,0.0,0.0,
-0.995,0.0,0.0,,0.0,0.0,
-0.99,0.0,0.0,,0.0,0.0,
-0.985,0.0,0.0,,0.0,0.0,
-0.98,0.0,0.0,,0.0,0.0,
-0.975,0.0,0.0,,0.0,0.0,
-0.97,0.0,0.0,,0.0,0.0,
-0.965,0.0,0.0,,0.0,0.0,
-0.96,0.0,0.0,,0.0,0.0,
-0.955,0.0,0.0,,0.0,0.0,
-0.95,0.0,0.0,,0.0,0.0,
-0.945,0.0,0.0,,0.0,0.0,
-0.94,0.0,0.0,,0.0,0.0,
-0.9349999999999999,0.0,0.0,,0.0,0.0,
-0.9299999999999999,0.0,0.0,,0.0,0.0,
-0.9249999999999999,0.0,0.0,,0.0,0.0,
-0.9199999999999999,0.0,0.0,,0.0,0.0,
-0.9149999999999999,0.0,0.0,,0.0,0.0,
-0.9099999999999999,0.0,0.0,,0.0,0.0,
-0.9049999999999999,0.0,0.0,,0.0,0.0,
-0.8999999999999999,0.0,0.0,,0.0,0.0,
-0.8949999999999999,0.0,0.0,,0.0,0.0,
-0.8899999999999999,0.0,0.0,,0.0,0.0,
-0.8849999999999999,0.0,0.0,,0.0,0.0,
-0.8799999999999999,0.0,0.0,,0.0,0.0,
-0.8749999999999999,0.0,0.0,,0.0,0.0,
-0.8699999999999999,0.0,0.0,,0.0,0.0,
-0.8649999999999999,0.0,0.0,,0.0,0.0,
-0.8599999999999999,0.0,0.0,,0.0,0.0,
-0.8549999999999999,0.0,0.0,,0.0,0.0,
-0.8499999999999999,0.0,0.0,,0.0,0.0,
-0.8449999999999999,0.0,0.0,,0.0,0.0,
-0.8399999999999999,0.0,0.002532158273103062,,0.0,0.0008771653563640745,
-0.8349999999999999,0.0,0.01873797122096266,,0.0,0.005335588562567077,
-0.8299999999999998,0.0,0.08710624459474532,,0.0,0.034987793990002486,
-0.8249999999999998,0.0,0.2572672805472711,,0.0,0.03921821905375387,
-0.8199999999999998,0.0,0.7074850215049956,,0.0,0.10368376507403197,
-0.8149999999999998,0.0,1.4656132084720523,,0.0,0.248614102820302,
-0.8099999999999998,0.0,2.5311454097938206,,0.0,0.3301347900612339,
-0.8049999999999998,0.0,4.135520891631921,,0.0,0.5399912862028926,
-0.7999999999999998,0.0,5.844727725976488,,0.0,0.35606323315927413,
-0.7949999999999998,0.0,7.674971725775381,,0.0,0.5706269092267554,
-0.7899999999999998,0.0,9.500151409028067,,0.0,0.6587698703080277,
-0.7849999999999998,0.0,11.20480035848105,,0.0,0.6271045249742401,
-0.7799999999999998,0.0,12.869947638873624,,0.0,0.6563424581236064,
-0.7749999999999998,0.0,14.316316444470091,,0.0,0.4053642962120973,
-0.7699999999999998,0.0,15.772813883158973,,0.0,0.344690271634465,
-0.7649999999999998,0.0,17.506329436925327,,0.0,0.29659475859134987,
-0.7599999999999998,0.0,18.88129137922029,,0.0,0.3524185801492369,
-0.7549999999999998,0.0,21.22860209838683,,0.0,0.24900838134901568,
-0.7499999999999998,0.0010128633092412248,23.566797047770198,-0.4955860668378591,0.0008771653563640745,0.07566536356456553,0.0059515585927686025
-0.7449999999999998,0.010128633092412248,26.72844986756668,-0.2529202960431576,0.0061401574945485204,0.2626681875388557,0.15623689942888083
-0.7399999999999998,0.049123870498199405,30.449203234064317,-0.29415109008550644,0.01099085041284951,0.1972530166227486,0.028321785673342946
-0.7349999999999998,0.3180390791017446,35.71305385219097,-0.27749063819646835,0.029512410586782202,0.22358082893086187,0.026406519189472278
-0.7299999999999998,1.2919071509371822,41.92443809611277,-0.27520038187503815,0.02192913390910189,0.6153469711669535,0.009128110158994987
-0.7249999999999998,3.9613084024424303,49.59890339023354,-0.27881668508052826,0.13999240314576308,0.20722648650924516,0.0015087880258534327
-0.7199999999999998,9.637394387430254,59.05398238200038,-0.2736472114920616,0.3828934791921836,0.31010865894529926,0.0012014780992609217
-0.7149999999999997,19.411018889953453,69.48495517222112,-0.27629049122333527,0.403384495952266,0.16433687684274506,0.003887569778659258
-0.7099999999999997,32.676489651085774,80.91359832204448,-0.27729159593582153,0.7507490157315466,0.5507529812820909,0.004758519645470073
-0.7049999999999997,48.5146332176908,93.3510533278721,-0.2777460739016533,0.6037325942318792,0.7865581417033335,0.0013162285994251794
-0.6999999999999997,65.21117843887778,105.29271174382615,-0.27519141137599945,0.777855282151219,0.8231863895072916,0.0025512086116497887
-0.6949999999999997,79.50470545888993,117.02065600153027,-0.2752630263566971,0.4528951776219181,0.6490377584511899,0.0030770623783463015
-0.6899999999999997,91.86872787479757,126.82264067671224,-0.27486034482717514,1.2303935012744458,1.4980235503113006,0.001963119030325925
-0.6849999999999997,99.50723652144028,134.28187251761923,-0.2709152549505234,1.0351766528117596,1.1808913335833053,0.0051945770622580005
-0.6799999999999997,103.45233911093483,140.0622834234589,-0.2690470963716507,1.4157793952839177,1.775837457540555,0.005902747645577247
-0.6749999999999997,104.7609585064745,143.3814364878424,-0.2652106434106827,1.2509475928067428,1.8918592109353123,0.004984142240341452
-0.6699999999999997,103.10695272248358,144.1405775381187,-0.26011351495981216,1.0032674388361997,2.032465384229306,0.006309126823362307
-0.6649999999999997,99.88959242067882,142.8117008763942,-0.25526101142168045,0.8403244113967839,2.446468902838083,0.00597863411032845
-0.6599999999999997,94.53660983133896,139.70727483356984,-0.24986790865659714,0.7060374734346413,3.443528986056547,0.007002174499398967
