,z-loc_nm,density-ow_nm^-3,density-hw_nm^-3,s_value
0,-1.0,0.0,0.0,
1,-0.99,0.0,0.0,
2,-0.98,0.0,0.0,
3,-0.97,0.0,0.0,
4,-0.96,0.0,0.0,
5,-0.95,0.0,0.0,
6,-0.94,0.0,0.0,
7,-0.9299999999999999,0.0,0.0,
8,-0.9199999999999999,0.0,0.0,
9,-0.9099999999999999,0.0,0.0,
10,-0.8999999999999999,0.0,0.0,
11,-0.8899999999999999,0.0,0.0,
12,-0.8799999999999999,0.0,0.0,
13,-0.8699999999999999,0.0,0.0,
14,-0.8599999999999999,0.0,0.0,
15,-0.8499999999999999,0.0,0.0,
16,-0.8399999999999999,0.0,0.004977000743685329,
17,-0.8299999999999998,0.0,0.10399312080226714,
18,-0.8199999999999998,0.0,0.7737926419392874,
19,-0.8099999999999998,0.0,2.618426285993608,
20,-0.7999999999999998,0.0,5.740053541914558,
21,-0.7899999999999998,0.0,9.10555383427609,
22,-0.7799999999999998,0.0,12.372561901394166,
23,-0.7699999999999998,0.0,15.569891958100644,
24,-0.7599999999999998,0.0,19.315215991427635,
25,-0.7499999999999998,0.0023575266680614716,24.36425227219262,-0.25105374306440353
26,-0.7399999999999998,0.09639664598295794,32.33714551616895,-0.2793026342988014
27,-0.7299999999999998,1.659698774315276,44.642648881227146,-0.2871958389878273
28,-0.7199999999999998,10.988955694649643,62.624552568162244,-0.28693148493766785
29,-0.7099999999999997,34.875939790263594,85.975330320496,-0.28803858906030655
30,-0.6999999999999997,68.15242870995127,110.85823845966213,-0.2852187156677246
31,-0.6899999999999997,95.26450928747332,132.15534853670678,-0.2814710885286331
32,-0.6799999999999997,107.3848158353849,145.37871561786358,-0.2721521109342575
33,-0.6699999999999997,106.19924186875754,148.03486233054616,-0.26144716888666153
34,-0.6599999999999997,97.27757511459025,142.2267024626654,-0.24994943290948868
35,-0.6499999999999997,84.82040420055344,131.3320478347382,-0.23555877804756165
36,-0.6399999999999997,72.74751013341064,117.88078650900214,-0.2227359414100647
37,-0.6299999999999997,61.76955622987862,105.18524345408355,-0.20914702117443085
38,-0.6199999999999997,52.287322023527814,94.1211088534635,-0.19356736540794373
39,-0.6099999999999997,44.38305900033283,85.99890558717661,-0.18094763904809952
40,-0.5999999999999996,38.05807689733146,80.71961753516429,-0.1661645770072937
41,-0.5899999999999996,33.14027626775523,75.54327481432398,-0.15243354439735413
42,-0.5799999999999996,28.805046672597747,70.76771162705413,-0.13914087414741516
43,-0.5699999999999996,25.116041331896668,65.85253047155352,-0.12380033731460571
44,-0.5599999999999996,22.46356188291995,61.338390797030925,-0.10678395628929138
45,-0.5499999999999996,20.202169913433874,57.79031316159841,-0.09053540229797363
46,-0.5399999999999996,18.65903773548386,55.31229068605825,-0.07358004152774811
47,-0.5299999999999996,17.344323696928246,54.492395300387976,-0.051778823137283325
48,-0.5199999999999996,16.45108303714051,54.506540460396344,-0.03009459376335144
49,-0.5099999999999996,16.043492870973438,55.093564600743655,-0.0050544291734695435
50,-0.49999999999999956,15.937142223503109,55.47967507949061,0.01186409592628479
51,-0.48999999999999955,16.258813639989718,55.18760372005855,0.035540446639060974
52,-0.47999999999999954,17.20313404425212,54.600579579711244,0.05742928385734558
53,-0.46999999999999953,19.004284418651086,53.720698237709186,0.07774223387241364
54,-0.4599999999999995,21.300253445935397,53.134459939584566,0.09579716622829437
55,-0.4499999999999995,25.027503108140582,53.037539398786485,0.10081678628921509
56,-0.4399999999999995,29.804114085040684,53.814737357024086,0.09979920089244843
57,-0.4299999999999995,35.41476560761942,56.24115619327446,0.09364178776741028
58,-0.4199999999999995,41.060780030219085,60.23218689489497,0.08667729794979095
59,-0.4099999999999995,45.86515743232081,65.15863178892076,0.07811135053634644
60,-0.39999999999999947,48.859216300758874,70.61421044622257,0.0669691413640976
61,-0.38999999999999946,50.183622393394295,75.7889814826175,0.05755780637264252
62,-0.37999999999999945,49.47557855075316,80.28583262824097,0.046706393361091614
63,-0.36999999999999944,47.85648162461006,83.75454019918209,0.03518335521221161
64,-0.35999999999999943,45.73392178113205,85.57795610322385,0.024699002504348755
65,-0.3499999999999994,43.194341664814715,86.76719733355708,0.01283903419971466
66,-0.3399999999999994,41.24414321551276,86.34677174441946,0.0023503005504608154
67,-0.3299999999999994,39.040117728282844,85.05091791920833,-0.006557628512382507
68,-0.3199999999999994,37.72933290084067,82.75992589266771,-0.014931216835975647
69,-0.3099999999999994,36.64146531723408,80.38615848533736,-0.020060673356056213
70,-0.2999999999999994,35.665187329249065,77.73787019488165,-0.023570790886878967
71,-0.28999999999999937,34.97181254143143,75.12965985778297,-0.02300649881362915
72,-0.27999999999999936,34.35466444921445,72.5709575807136,-0.018567219376564026
73,-0.26999999999999935,33.62566481396833,70.41722599573565,-0.017829209566116333
74,-0.25999999999999934,33.11643905366705,68.53644360943773,-0.014826834201812744
75,-0.24999999999999933,32.838250906835796,66.55088226011485,-0.011997818946838379
76,-0.23999999999999932,32.26563387390442,65.48658994318887,-0.009686648845672607
77,-0.22999999999999932,32.113180482703115,64.70310524716977,-0.007390007376670837
78,-0.2199999999999993,31.913052663325452,64.34711872029249,-0.0026804059743881226
79,-0.2099999999999993,31.782864801766948,63.48924096052568,0.0005943924188613892
80,-0.1999999999999993,31.508867813456693,62.90666992610693,0.00659574568271637
81,-0.18999999999999928,31.135592757680293,62.626386200015176,0.008890420198440552
82,-0.17999999999999927,30.84771255676923,62.3191218909445,0.015345245599746704
83,-0.16999999999999926,30.80920628785756,62.351341422074675,0.01598164439201355
